source	type	score	phase	gene_id	gene_version	gene_name	gene_source	gene_biotype	location
havana	gene	NA	NA	ENSG00000272455	1	AL391244.2	havana	lncRNA	chr1:1409096-1410618:+
ensembl_havana	gene	NA	NA	ENSG00000235098	8	ANKRD65	ensembl_havana	protein_coding	chr1:1418420-1421769:-
havana	gene	NA	NA	ENSG00000225905	1	AL391244.1	havana	lncRNA	chr1:1420245-1422691:+
ensembl_havana	gene	NA	NA	ENSG00000205116	3	TMEM88B	ensembl_havana	protein_coding	chr1:1426128-1427787:+
havana	gene	NA	NA	ENSG00000225285	1	LINC01770	havana	lncRNA	chr1:1430539-1434573:-
ensembl_havana	gene	NA	NA	ENSG00000179403	12	VWA1	ensembl_havana	protein_coding	chr1:1434861-1442882:+
ensembl_havana	gene	NA	NA	ENSG00000215915	10	ATAD3C	ensembl_havana	protein_coding	chr1:1449689-1470163:+
ensembl_havana	gene	NA	NA	ENSG00000160072	20	ATAD3B	ensembl_havana	protein_coding	chr1:1471765-1497848:+
havana	gene	NA	NA	ENSG00000284740	1	AL645728.2	havana	transcribed_unprocessed_pseudogene	chr1:1503250-1509452:+
ensembl_havana	gene	NA	NA	ENSG00000197785	14	ATAD3A	ensembl_havana	protein_coding	chr1:1512162-1534685:+
ensembl_havana	gene	NA	NA	ENSG00000205090	9	TMEM240	ensembl_havana	protein_coding	chr1:1534778-1540624:-
ensembl_havana	gene	NA	NA	ENSG00000160075	12	SSU72	ensembl_havana	protein_coding	chr1:1541673-1574863:-
havana	gene	NA	NA	ENSG00000215014	5	AL645728.1	havana	lncRNA	chr1:1574102-1577075:+
havana	gene	NA	NA	ENSG00000274481	1	AL691432.3	havana	processed_pseudogene	chr1:1583510-1583909:-
ensembl_havana	gene	NA	NA	ENSG00000228594	4	FNDC10	ensembl_havana	protein_coding	chr1:1598012-1600135:-
havana_tagene	gene	NA	NA	ENSG00000286989	1	AL691432.4	havana_tagene	lncRNA	chr1:1600314-1602703:+
havana	gene	NA	NA	ENSG00000272106	1	AL691432.2	havana	lncRNA	chr1:1613758-1615795:-
ensembl_havana	gene	NA	NA	ENSG00000197530	12	MIB2	ensembl_havana	protein_coding	chr1:1615415-1630610:+
ensembl_havana	gene	NA	NA	ENSG00000189409	14	MMP23B	ensembl_havana	protein_coding	chr1:1632163-1635263:+
ensembl_havana	gene	NA	NA	ENSG00000248333	8	CDK11B	ensembl_havana	protein_coding	chr1:1635227-1659012:-
havana	gene	NA	NA	ENSG00000272004	1	FO704657.1	havana	lncRNA	chr1:1659325-1662602:+
ensembl_havana	gene	NA	NA	ENSG00000189339	12	SLC35E2B	ensembl_havana	protein_coding	chr1:1659529-1692795:-
havana	gene	NA	NA	ENSG00000269737	2	AL691432.1	havana	transcribed_processed_pseudogene	chr1:1671990-1674397:+
havana	gene	NA	NA	ENSG00000215914	4	MMP23A	havana	unprocessed_pseudogene	chr1:1699942-1701782:+
ensembl_havana	gene	NA	NA	ENSG00000008128	23	CDK11A	ensembl_havana	protein_coding	chr1:1702379-1724357:-
havana	gene	NA	NA	ENSG00000268575	1	AL031282.2	havana	lncRNA	chr1:1702736-1737688:-
havana	gene	NA	NA	ENSG00000227775	3	AL031282.1	havana	transcribed_processed_pseudogene	chr1:1724512-1737251:+
ensembl_havana	gene	NA	NA	ENSG00000215790	7	SLC35E2A	ensembl_havana	protein_coding	chr1:1724838-1745999:-
ensembl_havana	gene	NA	NA	ENSG00000008130	15	NADK	ensembl_havana	protein_coding	chr1:1751232-1780457:-
ensembl_havana	gene	NA	NA	ENSG00000078369	18	GNB1	ensembl_havana	protein_coding	chr1:1785285-1891117:-
havana	gene	NA	NA	ENSG00000231050	1	AL109917.1	havana	lncRNA	chr1:1891471-1892658:+
ensembl_havana	gene	NA	NA	ENSG00000169885	10	CALML6	ensembl_havana	protein_coding	chr1:1915108-1917296:+
ensembl_havana	gene	NA	NA	ENSG00000178821	13	TMEM52	ensembl_havana	protein_coding	chr1:1917590-1919279:-
ensembl_havana	gene	NA	NA	ENSG00000142609	18	CFAP74	ensembl_havana	protein_coding	chr1:1921951-2003837:-
havana	gene	NA	NA	ENSG00000233542	2	AL391845.2	havana	lncRNA	chr1:2013213-2015639:-
ensembl_havana	gene	NA	NA	ENSG00000187730	9	GABRD	ensembl_havana	protein_coding	chr1:2019329-2030758:+
havana	gene	NA	NA	ENSG00000226969	1	AL391845.1	havana	lncRNA	chr1:2049203-2050070:-
ensembl_havana	gene	NA	NA	ENSG00000067606	17	PRKCZ	ensembl_havana	protein_coding	chr1:2050411-2185395:+
havana	gene	NA	NA	ENSG00000271806	1	AL590822.2	havana	lncRNA	chr1:2141084-2145279:-
havana	gene	NA	NA	ENSG00000182873	5	PRKCZ-AS1	havana	lncRNA	chr1:2181794-2184389:-
ensembl_havana	gene	NA	NA	ENSG00000162585	17	FAAP20	ensembl_havana	protein_coding	chr1:2184461-2212720:-
havana	gene	NA	NA	ENSG00000234396	3	AL590822.1	havana	lncRNA	chr1:2212523-2220738:+
ensembl_havana	gene	NA	NA	ENSG00000157933	10	SKI	ensembl_havana	protein_coding	chr1:2228319-2310213:+
havana	gene	NA	NA	ENSG00000287356	1	AL590822.3	havana	lncRNA	chr1:2315040-2323085:+
ensembl_havana	gene	NA	NA	ENSG00000116151	14	MORN1	ensembl_havana	protein_coding	chr1:2321253-2391707:-
havana	gene	NA	NA	ENSG00000272161	1	AL589739.1	havana	lncRNA	chr1:2326201-2326693:-
havana	gene	NA	NA	ENSG00000269896	2	AL513477.1	havana	transcribed_processed_pseudogene	chr1:2350414-2352820:-
havana	gene	NA	NA	ENSG00000272420	1	AL513477.2	havana	lncRNA	chr1:2363061-2363628:-
ensembl_havana	gene	NA	NA	ENSG00000157916	20	RER1	ensembl_havana	protein_coding	chr1:2391775-2405442:+
ensembl_havana	gene	NA	NA	ENSG00000157911	11	PEX10	ensembl_havana	protein_coding	chr1:2403964-2413797:-
ensembl_havana	gene	NA	NA	ENSG00000149527	18	PLCH2	ensembl_havana	protein_coding	chr1:2425980-2505532:+
havana	gene	NA	NA	ENSG00000224387	1	AL139246.1	havana	lncRNA	chr1:2492300-2493258:-
havana	gene	NA	NA	ENSG00000229393	1	AL139246.4	havana	lncRNA	chr1:2493437-2494479:-
ensembl_havana	gene	NA	NA	ENSG00000157881	16	PANK4	ensembl_havana	protein_coding	chr1:2508537-2526597:-
ensembl_havana	gene	NA	NA	ENSG00000197921	6	HES5	ensembl_havana	protein_coding	chr1:2528745-2530263:-
havana	gene	NA	NA	ENSG00000272449	2	AL139246.5	havana	lncRNA	chr1:2530064-2547460:+
havana	gene	NA	NA	ENSG00000238164	6	TNFRSF14-AS1	havana	lncRNA	chr1:2549920-2557031:-
ensembl_havana	gene	NA	NA	ENSG00000157873	17	TNFRSF14	ensembl_havana	protein_coding	chr1:2555639-2565382:+
havana	gene	NA	NA	ENSG00000225931	3	AL139246.2	havana	TEC	chr1:2566410-2569888:+
havana	gene	NA	NA	ENSG00000228037	1	AL139246.3	havana	lncRNA	chr1:2581560-2584533:+
ensembl_havana	gene	NA	NA	ENSG00000157870	17	PRXL2B	ensembl_havana	protein_coding	chr1:2586491-2591469:+
ensembl_havana	gene	NA	NA	ENSG00000142606	16	MMEL1	ensembl_havana	protein_coding	chr1:2590639-2633016:-
havana	gene	NA	NA	ENSG00000237058	1	MMEL1-AS1	havana	lncRNA	chr1:2632568-2636620:+
ensembl_havana	gene	NA	NA	ENSG00000215912	12	TTC34	ensembl_havana	protein_coding	chr1:2635976-2801717:-
havana	gene	NA	NA	ENSG00000285945	1	AC242022.2	havana	lncRNA	chr1:2768091-2784733:+
havana	gene	NA	NA	ENSG00000283259	1	AC242022.1	havana	lncRNA	chr1:2773603-2776473:+
havana	gene	NA	NA	ENSG00000233234	1	AL592464.2	havana	lncRNA	chr1:2811850-2812692:-
havana_tagene	gene	NA	NA	ENSG00000287396	1	AL592464.3	havana_tagene	lncRNA	chr1:2814056-2817767:+
havana	gene	NA	NA	ENSG00000231630	1	AL592464.1	havana	lncRNA	chr1:2814432-2814998:-
havana	gene	NA	NA	ENSG00000284745	1	AL589702.1	havana	lncRNA	chr1:2960658-2968707:-
ensembl_havana	gene	NA	NA	ENSG00000169717	7	ACTRT2	ensembl_havana	protein_coding	chr1:3021467-3022903:+
ensembl_havana	gene	NA	NA	ENSG00000177133	11	PRDM16-DT	ensembl_havana	lncRNA	chr1:3059615-3068437:-
ensembl_havana	gene	NA	NA	ENSG00000142611	17	PRDM16	ensembl_havana	protein_coding	chr1:3069168-3438621:+
mirbase	gene	NA	NA	ENSG00000283572	1	MIR4251	mirbase	miRNA	chr1:3127975-3128035:+
havana	gene	NA	NA	ENSG00000226286	1	AL008733.1	havana	lncRNA	chr1:3132927-3133709:-
havana	gene	NA	NA	ENSG00000279839	1	AL512383.1	havana	TEC	chr1:3205988-3208664:+
havana	gene	NA	NA	ENSG00000272235	1	AL590438.1	havana	lncRNA	chr1:3306636-3310096:-
havana_tagene	gene	NA	NA	ENSG00000287828	1	AL354743.2	havana_tagene	lncRNA	chr1:3313052-3323149:-
havana_tagene	gene	NA	NA	ENSG00000286518	1	AL354743.1	havana_tagene	lncRNA	chr1:3367815-3373928:-
ensembl_havana	gene	NA	NA	ENSG00000130762	15	ARHGEF16	ensembl_havana	protein_coding	chr1:3454665-3481113:+
havana	gene	NA	NA	ENSG00000272088	1	AL512413.1	havana	lncRNA	chr1:3487246-3487627:+
ensembl_havana	gene	NA	NA	ENSG00000162591	16	MEGF6	ensembl_havana	protein_coding	chr1:3487951-3611508:-
mirbase	gene	NA	NA	ENSG00000207776	1	MIR551A	mirbase	miRNA	chr1:3560695-3560790:-
havana	gene	NA	NA	ENSG00000238260	1	AL513320.1	havana	lncRNA	chr1:3623190-3624743:-
ensembl_havana	gene	NA	NA	ENSG00000158109	15	TPRG1L	ensembl_havana	protein_coding	chr1:3625015-3630127:+
ensembl_havana	gene	NA	NA	ENSG00000116213	16	WRAP73	ensembl_havana	protein_coding	chr1:3630767-3652761:-
ensembl_havana	gene	NA	NA	ENSG00000078900	15	TP73	ensembl_havana	protein_coding	chr1:3652516-3736201:+
havana	gene	NA	NA	ENSG00000227589	1	AL136528.1	havana	lncRNA	chr1:3658938-3668772:-
havana	gene	NA	NA	ENSG00000235131	1	AL136528.2	havana	lncRNA	chr1:3712200-3714298:-
havana	gene	NA	NA	ENSG00000227372	12	TP73-AS1	havana	transcribed_unitary_pseudogene	chr1:3735511-3747373:-
ensembl	gene	NA	NA	ENSG00000276189	1	AL136528.3	ensembl	misc_RNA	chr1:3736943-3737103:+
ensembl_havana	gene	NA	NA	ENSG00000162592	10	CCDC27	ensembl_havana	protein_coding	chr1:3746460-3771645:+
ensembl_havana	gene	NA	NA	ENSG00000235169	9	SMIM1	ensembl_havana	protein_coding	chr1:3772655-3775982:+
ensembl_havana	gene	NA	NA	ENSG00000130764	10	LRRC47	ensembl_havana	protein_coding	chr1:3778559-3796498:-
ensembl	gene	NA	NA	ENSG00000266075	2	RN7SL574P	ensembl	misc_RNA	chr1:3782815-3783111:+
havana	gene	NA	NA	ENSG00000272153	1	AL365330.1	havana	lncRNA	chr1:3785008-3785538:+
ensembl_havana	gene	NA	NA	ENSG00000116198	13	CEP104	ensembl_havana	protein_coding	chr1:3812086-3857214:-
ensembl_havana	gene	NA	NA	ENSG00000169598	16	DFFB	ensembl_havana	protein_coding	chr1:3857267-3885429:+
ensembl_havana	gene	NA	NA	ENSG00000198912	11	C1orf174	ensembl_havana	protein_coding	chr1:3889125-3900293:-
havana	gene	NA	NA	ENSG00000236423	6	LINC01134	havana	lncRNA	chr1:3900352-3917225:+
havana	gene	NA	NA	ENSG00000233304	7	LINC01346	havana	lncRNA	chr1:3940486-3955262:+
havana	gene	NA	NA	ENSG00000226374	3	LINC01345	havana	lncRNA	chr1:3944547-3949024:-
havana	gene	NA	NA	ENSG00000284668	2	LINC02780	havana	lncRNA	chr1:3976133-4012704:+
havana	gene	NA	NA	ENSG00000284703	1	AL805961.1	havana	lncRNA	chr1:4012921-4019508:-
havana	gene	NA	NA	ENSG00000229280	1	EEF1DP6	havana	processed_pseudogene	chr1:4175528-4175899:-
havana	gene	NA	NA	ENSG00000235054	4	LINC01777	havana	lncRNA	chr1:4412027-4424689:+
havana	gene	NA	NA	ENSG00000284694	1	AL355602.1	havana	lncRNA	chr1:4479131-4484375:-
havana	gene	NA	NA	ENSG00000227169	2	Z98747.1	havana	lncRNA	chr1:4551735-4552145:-
havana	gene	NA	NA	ENSG00000232596	3	LINC01646	havana	lncRNA	chr1:4571481-4594016:+
ensembl_havana	gene	NA	NA	ENSG00000196581	11	AJAP1	ensembl_havana	protein_coding	chr1:4654609-4792534:+
havana_tagene	gene	NA	NA	ENSG00000287586	1	Z98886.1	havana_tagene	lncRNA	chr1:4730211-4734992:-
havana	gene	NA	NA	ENSG00000284739	1	BX005132.1	havana	lncRNA	chr1:4963954-4973298:-
havana	gene	NA	NA	ENSG00000284674	1	LINC02781	havana	lncRNA	chr1:4973381-4981568:+
havana	gene	NA	NA	ENSG00000231510	1	LINC02782	havana	lncRNA	chr1:5086459-5090899:-
havana	gene	NA	NA	ENSG00000284616	1	AL139823.1	havana	lncRNA	chr1:5301928-5307394:-
havana	gene	NA	NA	ENSG00000284692	2	Z98259.3	havana	lncRNA	chr1:5478736-5493057:-
havana	gene	NA	NA	ENSG00000284666	1	Z98259.2	havana	lncRNA	chr1:5480787-5482028:-
havana	gene	NA	NA	ENSG00000260972	1	Z98259.1	havana	lncRNA	chr1:5492978-5494674:+
havana	gene	NA	NA	ENSG00000283356	1	Z97988.2	havana	unprocessed_pseudogene	chr1:5554747-5554881:+
havana	gene	NA	NA	ENSG00000236948	2	AL365255.1	havana	lncRNA	chr1:5561709-5668295:-
mirbase	gene	NA	NA	ENSG00000264341	1	Z97988.1	mirbase	miRNA	chr1:5564071-5564143:+
mirbase	gene	NA	NA	ENSG00000264101	1	MIR4689	mirbase	miRNA	chr1:5862672-5862741:-
ensembl_havana	gene	NA	NA	ENSG00000131697	18	NPHP4	ensembl_havana	protein_coding	chr1:5862811-5992473:-
ensembl_havana	gene	NA	NA	ENSG00000069424	15	KCNAB2	ensembl_havana	protein_coding	chr1:5990927-6101193:+
ensembl_havana	gene	NA	NA	ENSG00000116254	18	CHD5	ensembl_havana	protein_coding	chr1:6101787-6180321:-
havana	gene	NA	NA	ENSG00000285629	1	AL031847.2	havana	protein_coding	chr1:6159430-6197757:-
ensembl_havana	gene	NA	NA	ENSG00000116251	11	RPL22	ensembl_havana	protein_coding	chr1:6185020-6209389:-
havana	gene	NA	NA	ENSG00000226944	1	AL031847.1	havana	lncRNA	chr1:6204840-6205780:-
ensembl_havana	gene	NA	NA	ENSG00000158286	13	RNF207	ensembl_havana	protein_coding	chr1:6205475-6221299:+
ensembl_havana	gene	NA	NA	ENSG00000116237	16	ICMT	ensembl_havana	protein_coding	chr1:6221193-6235972:-
ensembl_havana	gene	NA	NA	ENSG00000225077	3	LINC00337	ensembl_havana	lncRNA	chr1:6234692-6239444:+
