PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_M_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-94	chr3	15629948	15648901	+	0	NA	intron (NM_001281726, intron 2 of 2)	LTR37B|LTR|ERV1	37455	NM_001281725	686		NM_001281723	ENSG00000169814	BTD	-	biotinidase	protein-coding
*-153	chr11	9750848	9817401	+	0	NA	intron (NM_030962, intron 38 of 39)	intron (NM_030962, intron 38 of 39)	-24591	NR_033972	440028		NR_033972	ENSG00000245522	LINC02709	-	long intergenic non-protein coding RNA 2709	ncRNA
*-14	chr2	75586548	75607951	+	0	NA	Intergenic	AluY|SINE|Alu	-27530	NM_032181	84141		NM_032181	ENSG00000115363	EVA1A	FAM176A|TMEM166	eva-1 homolog A, regulator of programmed cell death	protein-coding
*-245	chr13	99279298	99337501	+	0	NA	promoter-TSS (NM_004951)	promoter-TSS (NM_004951)	-1000	NM_004951	1880		NM_004951	ENSG00000169508	GPR183	EBI2|hEBI2	G protein-coupled receptor 183	protein-coding
*-273	chr1	162625448	162723901	+	0	NA	intron (NM_001354983, intron 2 of 17)	intron (NM_001354983, intron 2 of 17)	42210	NM_001014796	4921		NM_006182	ENSG00000162733	DDR2	MIG20a|NTRKR3|TKT|TYRO10|WRCN	discoidin domain receptor tyrosine kinase 2	protein-coding
*-54	chr4	112937398	112977851	+	0	NA	intron (NM_001354253, intron 2 of 45)	SVA_D|Retroposon|SVA	-91790	NM_001354228	287		NM_001148	ENSG00000145362	ANK2	ANK-2|CFAP87|FAP87|LQT4|brank-2	ankyrin 2	protein-coding
*-306	chr9	35507298	35534101	+	0	NA	intron (NM_001330740, intron 1 of 10)	intron (NM_001330740, intron 1 of 10)	-17933	NM_001135999	9853		NM_014806	ENSG00000198853	RUSC2	Iporin|MRT61	RUN and SH3 domain containing 2	protein-coding
*-304	chr9	16670398	16728801	+	0	NA	intron (NM_001317940, intron 2 of 5)	intron (NM_001317940, intron 2 of 5)	-27215	NR_151723	111216284		NR_151723	ENSG00000234779	BNC2-AS1	-	BNC2 antisense RNA 1	ncRNA
*-329	chr6	30724547	30794251	+	0	NA	Intergenic	Intergenic	-7426	NR_138037	105375013		NR_138037	ENSG00000228022	HCG20	NCRNA00149	HLA complex group 20	ncRNA
*-176	chr11	118906948	118930051	+	0	NA	intron (NM_001378213, intron 2 of 9)	intron (NM_001378213, intron 2 of 9)	7427	NR_165445	283149		NM_182557	ENSG00000186174	BCL9L	B9L|BCL9-2|DLNB11	BCL9 like	protein-coding
*-174	chr11	111517783	111567101	+	0	NA	intron (NM_001258390, intron 2 of 7)	intron (NM_001258390, intron 2 of 7)	1722	NM_178834	143903		NM_178834	ENSG00000204381	LAYN	-	layilin	protein-coding
*-111	chr3	123595048	123881301	+	0	NA	intron (NM_053027, intron 7 of 32)	MIRb|SINE|MIR	48530	NR_046629	100873940		NR_046629	ENSG00000250174	MYLK-AS2	-	MYLK antisense RNA 2	ncRNA
*-92	chr3	8441948	8580051	+	0	NA	intron (NM_001278233, intron 1 of 4)	MIRb|SINE|MIR	9176	NM_001278235	29995		NM_014583	ENSG00000071282	LMCD1	-	LIM and cysteine rich domains 1	protein-coding
*-327	chr6	11160048	11236601	+	0	NA	TTS (NM_182966)	TTS (NM_182966)	34344	NM_006403	4739		NM_006403	ENSG00000111859	NEDD9	CAS-L|CAS2|CASL|CASS2|HEF1	neural precursor cell expressed, developmentally down-regulated 9	protein-coding
*-222	chr12	116120398	116165351	+	0	NA	intron (NM_015335, intron 2 of 30)	intron (NM_015335, intron 2 of 30)	5780	NR_030351	693205		NR_030351	ENSG00000207967	MIR620	MIRN620|hsa-mir-620	microRNA 620	ncRNA
*-439	chr16	70674298	70747351	+	0	NA	intron (NM_001351157, intron 13 of 17)	intron (NM_001351157, intron 13 of 17)	-24771	NM_138383	92154		NM_138383	ENSG00000132613	MTSS2	ABBA|ABBA-1|ABBA1|IDDOF|MTSS1L	MTSS I-BAR domain containing 2	protein-coding
*-161	chr11	47498048	47550239	+	0	NA	promoter-TSS (NM_001172639)	promoter-TSS (NM_001172639)	-312	NM_001172639	10658		NM_006560	ENSG00000149187	CELF1	BRUNOL2|CUG-BP|CUGBP|CUGBP1|EDEN-BP|NAB50|NAPOR|hNab50	CUGBP Elav-like family member 1	protein-coding
*-437	chr16	57167698	57204351	+	0	NA	promoter-TSS (NM_001354080)	promoter-TSS (NM_001354080)	15	NM_001354084	80011		NM_024946	ENSG00000172775	PSME3IP1	C16orf94|CDA018|CDA10|FAM192A|NIP30|PIP30	proteasome activator subunit 3 interacting protein 1	protein-coding
*-228	chr7	18974198	19031251	+	0	NA	TTS (NM_001321877)	TTS (NM_001321877)	114912	NR_149001	7291		NM_000474	ENSG00000122691	TWIST1	ACS3|BPES2|BPES3|CRS|CRS1|CSO|SCS|SWCOS|TWIST|bHLHa38	twist family bHLH transcription factor 1	protein-coding
*-88	chr10	126048648	126101901	+	0	NA	intron (NM_021641, intron 11 of 18)	intron (NM_021641, intron 11 of 18)	-102001	NR_102707	101410540		NR_102707	ENSG00000233409	FANK1-AS1	-	FANK1 antisense RNA 1	ncRNA
*-83	chr10	90910748	90944298	+	0	NA	Intergenic	Intergenic	-6436	NM_014391	27063		NM_014391	ENSG00000148677	ANKRD1	ALRP|C-193|CARP|CVARP|MCARP|bA320F15.2	ankyrin repeat domain 1	protein-coding
*-194	chr17	59745198	59859951	+	0	NA	intron (NM_030938, intron 7 of 11)	intron (NM_030938, intron 7 of 11)	-38692	NR_029493	406991		NR_029493	ENSG00000284190	MIR21	MIRN21|hsa-mir-21|miR-21|miRNA21	microRNA 21	ncRNA
*-196	chr17	66305806	66474801	+	0	NA	intron (NM_002737, intron 2 of 16)	intron (NM_002737, intron 2 of 16)	26551	NR_110822	101928001		NR_110822		PRKCA-AS1	-	PRKCA antisense RNA 1	ncRNA
*-350	chr5	9324148	9372201	+	0	NA	intron (NM_003966, intron 3 of 22)	intron (NM_003966, intron 3 of 22)	-163159	NR_109935	101929338		NR_109935	ENSG00000251370	SEMA5A-AS1	CTD-2201E9.1	SEMA5A antisense RNA 1	ncRNA
*-44	chr4	69746948	69803551	+	0	NA	Intergenic	Intergenic	-14629	NM_014465	27284		NM_014465	ENSG00000173597	SULT1B1	ST1B1|ST1B2|SULT1B2	sulfotransferase family 1B member 1	protein-coding
*-293	chr1	230070193	230154901	+	0	NA	intron (NM_004481, intron 1 of 15)	intron (NM_004481, intron 1 of 15)	45309	NM_004481	2590		NM_004481	ENSG00000143641	GALNT2	CDG2T|GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
*-313	chr9	94767248	94813751	+	0	NA	intron (NM_001193329, intron 2 of 15)	intron (NM_001193329, intron 2 of 15)	-19463	NR_031755	100313780		NR_031755	ENSG00000252153	MIR2278	mir-2278	microRNA 2278	ncRNA
*-137	chr8	38891898	38939851	+	0	NA	intron (NM_021623, intron 1 of 11)	L1MA2|LINE|L1	14528	NM_021623	59339		NM_021623	ENSG00000169499	PLEKHA2	TAPP2	pleckstrin homology domain containing A2	protein-coding
*-201	chr12	45212948	45314301	+	0	NA	intron (NM_001142679, intron 1 of 19)	intron (NM_001142679, intron 1 of 19)	-29066	NM_001142678	196527		NM_001025356	ENSG00000177119	ANO6	BDPLT7|SCTS|TMEM16F	anoctamin 6	protein-coding
*-139	chr8	40148698	40220751	+	0	NA	Intergenic	MLT1A0|LTR|ERVL-MaLR	31242	NM_020130	56892		NM_020130	ENSG00000176907	TCIM	C8orf4|TC-1|TC1	transcriptional and immune response regulator	protein-coding
*-363	chr5	131504498	131547351	+	0	NA	intron (NM_016340, intron 6 of 27)	MIR|SINE|MIR	109305	NM_016340	51735		NM_016340	ENSG00000158987	RAPGEF6	KIA001LB|PDZ-GEF2|PDZGEF2|RA-GEF-2|RAGEF2	Rap guanine nucleotide exchange factor 6	protein-coding
*-189	chr17	45287498	45322351	+	0	NA	intron (NM_003954, intron 1 of 15)	MIRb|SINE|MIR	12096	NM_003954	9020		NM_003954	ENSG00000006062	MAP3K14	FTDCR1B|HS|HSNIK|IMD112|NIK	mitogen-activated protein kinase kinase kinase 14	protein-coding
*	chr2	9225348	9313551	+	0	NA	intron (NM_001135191, intron 1 of 26)	intron (NM_001135191, intron 1 of 26)	62637	NM_003887	8853		NM_003887	ENSG00000151693	ASAP2	AMAP2|CENTB3|DDEF2|PAG3|PAP|Pap-alpha|SHAG1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	protein-coding
*-411	chr15	85393798	85445551	+	0	NA	intron (NM_007200, intron 1 of 36)	intron (NM_007200, intron 1 of 36)	39071	NM_007200	11214		NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A-kinase anchoring protein 13	protein-coding
*-187	chr17	40280548	40348051	+	0	NA	intron (NM_000964, intron 1 of 8)	intron (NM_000964, intron 1 of 8)	-3946	NM_001145302	5914		NM_000964	ENSG00000131759	RARA	NR1B1|RAR|RARalpha	retinoic acid receptor alpha	protein-coding
*-33	chr2	223026198	223111101	+	0	NA	Intergenic	L1ME2|LINE|L1	16459	NM_080671	23704		NM_080671	ENSG00000152049	KCNE4	MIRP3	potassium voltage-gated channel subfamily E regulatory subunit 4	protein-coding
*-248	chr1	8437048	8484001	+	0	NA	intron (NM_012102, intron 12 of 23)	intron (NM_012102, intron 12 of 23)	34389	NR_132752	106632271		NR_132752		SNORD128	ZL43	small nucleolar RNA, C/D box 128	snoRNA
*-460	chrX	136155498	136215901	+	0	NA	intron (NM_001369330, intron 2 of 6)	intron (NM_001369330, intron 2 of 6)	-11090	NM_001159701	2273		NM_001449	ENSG00000022267	FHL1	FCMSU|FHL-1|FHL1A|FHL1B|FLH1A|KYOT|RBMX1A|RBMX1B|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA	four and a half LIM domains 1	protein-coding
*-200	chr12	31482598	31533801	+	0	NA	intron (NM_001308339, intron 1 of 22)	intron (NM_001308339, intron 1 of 22)	-81724	NR_046909	100874249		NR_046909	ENSG00000255867	DENND5B-AS1	-	DENND5B antisense RNA 1	ncRNA
*-42	chr4	41119998	41209951	+	0	NA	intron (NM_173075, intron 1 of 16)	intron (NM_173075, intron 1 of 16)	49568	NM_004307	323		NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2	protein-coding
*-38	chr4	10072348	10113948	+	0	NA	intron (NM_005112, intron 2 of 11)	intron (NM_005112, intron 2 of 11)	-14456	NR_036090	100423011		NR_036090	ENSG00000264931	MIR3138	mir-3138	microRNA 3138	ncRNA
*-410	chr15	71651698	71731001	+	0	NA	intron (NR_120346, intron 1 of 2)	MLT1D|LTR|ERVL-MaLR	190	NR_120346	101929173		NR_120346		THSD4-AS2	-	THSD4 antisense RNA 2	ncRNA
*-453	chr21	29308202	29352601	+	0	NA	intron (NR_027655, intron 4 of 7)	AluY|SINE|Alu	25197	NR_027655	571		NM_001186	ENSG00000156273	BACH1	BACH-1|BTBD24	BTB domain and CNC homolog 1	protein-coding
*-351	chr5	9426848	9508331	+	0	NA	intron (NM_003966, intron 1 of 22)	intron (NM_003966, intron 1 of 22)	-43744	NR_109935	101929338		NR_109935	ENSG00000251370	SEMA5A-AS1	CTD-2201E9.1	SEMA5A antisense RNA 1	ncRNA
*-415	chr15	98841398	98928101	+	0	NA	intron (NM_000875, intron 2 of 20)	intron (NM_000875, intron 2 of 20)	100323	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
*-346	chr6	151242997	151296801	+	0	NA	intron (NM_005100, intron 2 of 4)	L1MB8|LINE|L1	29932	NM_005100	9590		NM_005100	ENSG00000131016	AKAP12	AKAP250|SSeCKS	A-kinase anchoring protein 12	protein-coding
*-344	chr6	150853798	150900301	+	0	NA	intron (NM_015440, intron 2 of 27)	intron (NM_015440, intron 2 of 27)	10563	NM_001350491	25902		NM_015440	ENSG00000120254	MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	protein-coding
*-50	chr4	88586848	88641951	+	0	NA	intron (NM_001375479, intron 4 of 25)	intron (NM_001375479, intron 4 of 25)	21919	NM_001375481	8916		NM_014606	ENSG00000138641	HERC3	-	HECT and RLD domain containing E3 ubiquitin protein ligase 3	protein-coding
*-205	chr12	50150598	50219704	+	0	NA	intron (NM_001113547, intron 6 of 7)	intron (NM_001113547, intron 6 of 7)	16382	NM_001243775	51474		NM_016357	ENSG00000050405	LIMA1	EPLIN|LDLCQ8|SREBP3	LIM domain and actin binding 1	protein-coding
*-10	chr2	68166548	68259001	+	0	NA	intron (NM_000945, intron 2 of 5)	Tigger1|DNA|TcMar-Tigger	39758	NM_000945	5534		NM_000945	ENSG00000221823	PPP3R1	CALNB1|CNB|CNB1	protein phosphatase 3 regulatory subunit B, alpha	protein-coding
*-37	chr4	7771548	7935999	+	0	NA	intron (NM_001371091, intron 5 of 17)	intron (NM_001371091, intron 5 of 17)	18535	NM_001371090	60312		NM_021638	ENSG00000196526	AFAP1	AFAP|AFAP-110|AFAP110	actin filament associated protein 1	protein-coding
*-259	chr1	59115548	59166001	+	0	NA	intron (NR_027120, intron 1 of 2)	intron (NR_027120, intron 1 of 2)	6033	NR_027120	729467		NR_027120	ENSG00000224609	HSD52	-	uncharacterized LOC729467	ncRNA
*-352	chr5	17220559	17262401	+	0	NA	intron (NM_006317, intron 1 of 1)	MIR|SINE|MIR	23849	NM_006317	10409		NM_006317	ENSG00000176788	BASP1	CAP-23|CAP23|NAP-22|NAP22	brain abundant membrane attached signal protein 1	protein-coding
*-257	chr1	51619872	51674051	+	0	NA	intron (NM_148906, intron 1 of 22)	L1M4|LINE|L1	29869	NM_148908	114883		NM_024586	ENSG00000117859	OSBPL9	ORP-9|ORP9	oxysterol binding protein like 9	protein-coding
*-61	chr4	122829706	122915251	+	0	NA	intron (NM_001361665, intron 1 of 2)	L1PA10|LINE|L1	45647	NM_001361665	2247		NM_002006	ENSG00000138685	FGF2	BFGF|FGF-2|FGFB|HBGF-2	fibroblast growth factor 2	protein-coding
*-66	chr4	159262098	159310151	+	0	NA	intron (NM_001351728, intron 1 of 24)	L2a|LINE|L2	18315	NM_001351728	9693		NM_014247	ENSG00000109756	RAPGEF2	CNrasGEF|NRAPGEP|PDZ-GEF1|PDZGEF1|RA-GEF|RA-GEF-1|RAGEF|Rap-GEP|nRap GEP	Rap guanine nucleotide exchange factor 2	protein-coding
*-355	chr5	61350848	61505451	+	0	NA	intron (NM_020928, intron 1 of 13)	intron (NM_020928, intron 1 of 13)	95891	NM_020928	57688		NM_020928	ENSG00000130449	ZSWIM6	AFND|NEDMAGA	zinc finger SWIM-type containing 6	protein-coding
*-177	chr11	120328848	120348451	+	0	NA	intron (NM_015313, intron 1 of 40)	intron (NM_015313, intron 1 of 40)	2236	NM_001198665	23365		NM_015313	ENSG00000196914	ARHGEF12	LARG|PRO2792	Rho guanine nucleotide exchange factor 12	protein-coding
*-168	chr11	86578798	86637051	+	0	NA	intron (NR_147828, intron 2 of 14)	intron (NR_147828, intron 2 of 14)	64274	NM_001014811	10873		NM_006680	ENSG00000151376	ME3	NADP-ME	malic enzyme 3	protein-coding
*-179	chr11	122155307	122200061	+	0	NA	intron (NR_024430, intron 2 of 3)	intron (NR_024430, intron 2 of 3)	2948	NR_137185	399959		NR_024430	ENSG00000255248	MIR100HG	AGD1|linc-NeD125|lncRNA-N2	mir-100-let-7a-2-mir-125b-1 cluster host gene	ncRNA
*-326	chr9	133112348	133143251	+	0	NA	intron (NM_001042368, intron 1 of 17)	intron (NM_001042368, intron 1 of 17)	1602	NM_001271775	5900		NM_006266	ENSG00000160271	RALGDS	RGDS|RGF|RalGEF	ral guanine nucleotide dissociation stimulator	protein-coding
*-324	chr9	130823248	130870501	+	0	NA	intron (NM_005157, intron 1 of 10)	intron (NM_005157, intron 1 of 10)	11620	NM_005157	25		NM_005157	ENSG00000097007	ABL1	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding
*-118	chr3	156531798	156559251	+	0	NA	intron (NM_001308204, intron 3 of 4)	intron (NM_001308204, intron 3 of 4)	8601	NM_001308205	6747		NM_007107	ENSG00000114850	SSR3	TRAPG	signal sequence receptor subunit 3	protein-coding
*-436	chr16	50180848	50235851	+	0	NA	intron (NM_001040284, intron 2 of 12)	L3|LINE|CR1	55043	NM_001365324	64282		NM_022447	ENSG00000121274	TENT4B	PAPD5|TRF4-2|TUT3	terminal nucleotidyltransferase 4B	protein-coding
*-434	chr16	24970048	25012377	+	0	NA	intron (NM_018054, intron 1 of 18)	intron (NM_018054, intron 1 of 18)	24157	NM_001006634	55114		NM_018054	ENSG00000140750	ARHGAP17	MST066|MST110|MSTP038|MSTP066|MSTP110|NADRIN|PP367|PP4534|RICH-1|RICH1|WBP15	Rho GTPase activating protein 17	protein-coding
*-412	chr15	89084298	89128001	+	0	NA	intron (NM_007011, intron 5 of 14)	AluSq2|SINE|Alu	17693	NM_152924	11057		NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2, acylglycerol lipase	protein-coding
*-90	chr10	126368298	126409051	+	0	NA	promoter-TSS (NM_001288973)	promoter-TSS (NM_001288973)	-197	NM_001288975	8038		NM_003474	ENSG00000148848	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	ADAM metallopeptidase domain 12	protein-coding
*-87	chr10	114603998	114719451	+	0	NA	intron (NM_001322884, intron 1 of 20)	intron (NM_001322884, intron 1 of 20)	-3449	NM_002313	3983		NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
*-309	chr9	37992698	38066212	+	0	NA	intron (NM_003028, intron 1 of 5)	MIR|SINE|MIR	39772	NM_003028	6461		NM_003028	ENSG00000107338	SHB	bA3J10.2	SH2 domain containing adaptor protein B	protein-coding
*-202	chr12	47776182	47826451	+	0	NA	intron (NR_160435, intron 1 of 24)	L2a|LINE|L2	18587	NM_015401	51564		NM_015401	ENSG00000061273	HDAC7	HD7|HD7A|HDAC7A	histone deacetylase 7	protein-coding
*-307	chr9	36089348	36114801	+	0	NA	intron (NM_021111, intron 11 of 20)	intron (NM_021111, intron 11 of 20)	-34462	NM_001287010	152007		NM_022343	ENSG00000122694	GLIPR2	C9orf19|GAPR-1|GAPR1	GLI pathogenesis related 2	protein-coding
*-134	chr8	13075348	13130299	+	0	NA	exon (NM_001348081, exon 8 of 18)	exon (NM_001348081, exon 8 of 18)	13421	NM_001164271	10395		NM_006094	ENSG00000164741	DLC1	ARHGAP7|HP|STARD12|p122-RhoGAP	DLC1 Rho GTPase activating protein	protein-coding
*-136	chr8	32672598	32785351	+	0	NA	TTS (NM_004495)	TTS (NM_004495)	7139	NM_001322197	3084		NM_004495	ENSG00000157168	NRG1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	neuregulin 1	protein-coding
*-89	chr10	126194648	126282651	+	0	NA	intron (NM_021641, intron 3 of 18)	intron (NM_021641, intron 3 of 18)	149828	NM_001288973	8038		NM_003474	ENSG00000148848	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	ADAM metallopeptidase domain 12	protein-coding
*-418	chr20	31652098	31718505	+	0	NA	intron (NR_134257, intron 1 of 2)	AluY|SINE|Alu	-36206	NR_131907	103021294		NR_131907	ENSG00000281376	ABALON	INXS	apoptotic BCL2L1-antisense long non-coding RNA	ncRNA
*-76	chr10	62220398	62279801	+	0	NA	intron (NM_001282941, intron 2 of 4)	intron (NM_001282941, intron 2 of 4)	18745	NM_001282941	219790		NM_145307	ENSG00000182010	RTKN2	PLEKHK1|bA531F24.1	rhotekin 2	protein-coding
*-240	chr13	32021848	32064001	+	0	NA	intron (NM_023037, intron 1 of 60)	MLT1L|LTR|ERVL-MaLR	11150	NM_023037	10129		NM_023037	ENSG00000073910	FRY	13CDNA73|214K23.2|C13orf14|CG003|bA207N4.2|bA37E23.1	FRY microtubule binding protein	protein-coding
*-184	chr17	20165098	20227451	+	0	NA	intron (NM_001033554, intron 1 of 5)	MER51-int|LTR|ERV1	40202	NM_001033554	92521		NM_152904	ENSG00000128487	SPECC1	CYTSB|HCMOGT-1|HCMOGT1|NSP|NSP5	sperm antigen with calponin homology and coiled-coil domains 1	protein-coding
*-186	chr17	31563898	31604151	+	0	NA	Intergenic	L1ME1|LINE|L1	8613	NR_029856	100126356		NR_029856	ENSG00000283978	MIR365B	MIR365-2|MIRN365-2|hsa-mir-365b|mir-365b	microRNA 365b	ncRNA
*-208	chr12	65630448	65674151	+	0	NA	Intergenic	AluJb|SINE|Alu	-9927	NR_120432	100507065		NR_120431		MSRB3-AS1	-	MSRB3 antisense RNA 1	ncRNA
*-71	chr10	17648398	17689351	+	0	NA	intron (NM_001324287, intron 2 of 11)	L1MC2|LINE|L1	24723	NM_001324284	8027		NM_003473	ENSG00000136738	STAM	STAM-1|STAM1	signal transducing adaptor molecule	protein-coding
*-162	chr11	57764760	57805451	+	0	NA	intron (NM_001085467, intron 1 of 16)	intron (NM_001085467, intron 1 of 16)	23303	NM_001206887	1500		NM_001331	ENSG00000198561	CTNND1	BCDS2|CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	catenin delta 1	protein-coding
*-283	chr1	198087698	198127351	+	0	NA	Intergenic	LTR8B|LTR|ERV1	-49474	NM_133494	140609		NM_133494	ENSG00000151414	NEK7	-	NIMA related kinase 7	protein-coding
*-197	chr17	75673498	75708901	+	0	NA	intron (NM_001301855, intron 4 of 11)	intron (NM_001301855, intron 4 of 11)	23861	NM_013260	29115		NM_013260	ENSG00000161526	SAP30BP	HCNGP|HTRG|HTRP	SAP30 binding protein	protein-coding
*-112	chr3	128758648	128806351	+	0	NA	intron (NM_004637, intron 1 of 5)	intron (NM_004637, intron 1 of 5)	56316	NM_004637	7879		NM_004637	ENSG00000075785	RAB7A	CMT2B|PRO2706|RAB7	RAB7A, member RAS oncogene family	protein-coding
*-233	chr7	92610048	92648801	+	0	NA	intron (NM_001145306, intron 5 of 7)	GA-rich|Low_complexity|Low_complexity	-39034	NR_109929	257415		NM_152789	ENSG00000234545	FAM133B	-	family with sequence similarity 133 member B	protein-coding
*-199	chr12	29277048	29288851	+	0	NA	intron (NR_103860, intron 5 of 6)	intron (NR_103860, intron 5 of 6)	34899	NR_103860	100506606		NR_103860	ENSG00000257176	LOC100506606	-	uncharacterized LOC100506606	ncRNA
*-221	chr12	110265748	110341501	+	0	NA	intron (NM_170665, intron 5 of 19)	AluSc5|SINE|Alu	22377	NM_170665	488		NM_001681	ENSG00000174437	ATP2A2	ATP2B|DAR|DD|SERCA2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	protein-coding
*-40	chr4	24526248	24572351	+	0	NA	intron (NM_001358, intron 5 of 13)	intron (NM_001358, intron 5 of 13)	-29009	NR_030299	693158		NR_030299	ENSG00000207697	MIR573	MIRN573|hsa-mir-573|mir-573	microRNA 573	ncRNA
*-26	chr2	189203448	189299101	+	0	NA	Intergenic	Intergenic	-71513	NM_000393	1290		NM_000393	ENSG00000204262	COL5A2	EDSC|EDSCL2	collagen type V alpha 2 chain	protein-coding
*-358	chr5	72110289	72284001	+	0	NA	exon (NM_001324255, exon 4 of 6)	exon (NM_001324255, exon 4 of 6)	17358	NM_001324255	4131		NM_005909	ENSG00000131711	MAP1B	DFNA83|FUTSCH|MAP5|PPP1R102|PVNH9	microtubule associated protein 1B	protein-coding
*-165	chr11	68502948	68551201	+	0	NA	intron (NM_001352348, intron 3 of 24)	intron (NM_001352348, intron 3 of 24)	66322	NM_001352374	55291		NM_018312	ENSG00000110075	PPP6R3	C11orf23|PP6R3|SAP190|SAPL|SAPLa|SAPS3	protein phosphatase 6 regulatory subunit 3	protein-coding
