PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_A_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-212	chr7	11698348	11829197	+	0	NA	intron (NM_015204, intron 1 of 26)	intron (NM_015204, intron 1 of 26)	68426	NM_015204	221981		NM_015204	ENSG00000005108	THSD7A	-	thrombospondin type 1 domain containing 7A	protein-coding
*-130	chr3	18346398	18448901	+	0	NA	intron (NM_001322873, intron 5 of 10)	intron (NM_001322873, intron 5 of 10)	27690	NM_002971	6304		NM_002971	ENSG00000182568	SATB1	DEFDA|DHDBV|KTZSL	SATB homeobox 1	protein-coding
*-204	chr12	112794742	112903775	+	0	NA	intron (NM_001347955, intron 4 of 20)	intron (NM_001347955, intron 4 of 20)	57510	NM_001347954	22895		NM_014954	ENSG00000089169	RPH3A	-	rabphilin 3A	protein-coding
*-51	chr8	55882825	56015001	+	0	NA	intron (NM_002350, intron 4 of 12)	intron (NM_002350, intron 4 of 12)	-46058	NR_145767	109617001		NR_145767	ENSG00000199405	SNORA1B	-	small nucleolar RNA, H/ACA box 1B	snoRNA
*-25	chr11	79016298	79090351	+	0	NA	intron (NM_001098816, intron 6 of 33)	intron (NM_001098816, intron 6 of 33)	348785	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
*-129	chr3	18099098	18144051	+	0	NA	intron (NR_161333, intron 4 of 4)	MLT1I|LTR|ERVL-MaLR	159022	NR_161333	339862		NR_046199		BALR6	BALR-6	B-cell acute lymphoblastic leukemia associated long RNA 6	ncRNA
*-298	chr6	16319748	16404651	+	0	NA	intron (NM_000332, intron 7 of 8)	intron (NM_000332, intron 7 of 8)	123612	NM_006877	2766		NM_006877	ENSG00000137198	GMPR	GMPR 1|GMPR1	guanosine monophosphate reductase	protein-coding
*-335	chrX	72072248	72127751	+	0	NA	intron (NM_001013627, intron 1 of 7)	intron (NM_001013627, intron 1 of 7)	31916	NM_001024455	340526		NM_001024455	ENSG00000242732	RTL5	6430402L03Rik|MAR5|MART5|RGAG4|SIRH8	retrotransposon Gag like 5	protein-coding
*-48	chr8	29878998	29908251	+	0	NA	Intergenic	Intergenic	-27889	NR_024473	286135		NR_024473	ENSG00000253279	LINC02209	FAM183CP	long intergenic non-protein coding RNA 2209	ncRNA
*-256	chr22	40308748	40339051	+	0	NA	3' UTR (NM_001162501, exon 23 of 23)	3' UTR (NM_001162501, exon 23 of 23)	-22601	NM_001363840	158		NM_000026	ENSG00000239900	ADSL	AMPS|ASASE|ASL	adenylosuccinate lyase	protein-coding
*-138	chr3	98735702	98824401	+	0	NA	intron (NM_001271147, intron 6 of 9)	intron (NM_001271147, intron 6 of 9)	16744	NM_001323367	10402		NM_006100	ENSG00000064225	ST3GAL6	SIAT10|ST3GALVI	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	protein-coding
*-66	chr5	78793298	78814501	+	0	NA	intron (NM_000046, intron 6 of 7)	MIRb|SINE|MIR	-155127	NM_005779	10184		NM_005779	ENSG00000145685	LHFPL2	-	LHFPL tetraspan subfamily member 2	protein-coding
*-236	chr14	51854698	51940451	+	0	NA	intron (NM_053064, intron 2 of 3)	L4_C_Mam|LINE|RTE-X	20997	NR_126331	102723604		NR_126331	ENSG00000258928	LOC102723604	-	uncharacterized LOC102723604	ncRNA
*-158	chr10	42957598	42978506	+	0	NA	Intergenic	L1ME3C|LINE|L1	13455	NR_126352	104266963		NR_126352	ENSG00000229630	LINC01264	-	long intergenic non-protein coding RNA 1264	ncRNA
*-310	chr6	111661498	111854201	+	0	NA	intron (NM_002037, intron 3 of 13)	intron (NM_002037, intron 3 of 13)	1282	NM_153048	2534		NM_002037	ENSG00000010810	FYN	SLK|SYN|p59-FYN	FYN proto-oncogene, Src family tyrosine kinase	protein-coding
*-341	chr19	30508248	30574701	+	0	NA	intron (NM_001352260, intron 3 of 5)	intron (NM_001352260, intron 3 of 5)	169090	NM_014717	9745		NM_014717	ENSG00000198597	ZNF536	-	zinc finger protein 536	protein-coding
*-19	chr11	57141448	57169001	+	0	NA	Intergenic	Intergenic	-26729	NM_001005210	219527		NM_001005210	ENSG00000183908	LRRC55	-	leucine rich repeat containing 55	protein-coding
*-76	chr5	138944298	138971401	+	0	NA	intron (NM_022464, intron 7 of 9)	L1MC4|LINE|L1	82449	NM_001323987	1495		NM_001903	ENSG00000044115	CTNNA1	CAP102|MDBS2|MDPT2	catenin alpha 1	protein-coding
*-196	chr12	6178898	6269451	+	0	NA	intron (NM_001769, intron 1 of 7)	intron (NM_001769, intron 1 of 7)	23774	NM_001769	928		NM_001769	ENSG00000010278	CD9	BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29	CD9 molecule	protein-coding
*-23	chr11	71975048	72059151	+	0	NA	intron (NR_104178, intron 1 of 3)	AluSx4|SINE|Alu	2808	NR_104178	100128494		NR_104178	ENSG00000251143	LOC100128494	-	uncharacterized LOC100128494	ncRNA
*-2	chr4	38667627	38700901	+	0	NA	intron (NM_016531, intron 2 of 5)	intron (NM_016531, intron 2 of 5)	-19636	NR_026804	79667		NM_024614		KLF3-AS1	-	KLF3 antisense RNA 1	ncRNA
*-150	chr3	195097586	195259951	+	0	NA	intron (NM_001308069, intron 2 of 3)	L3|LINE|CR1	30897	NR_102711	101410543		NR_102710	ENSG00000230266	XXYLT1-AS2	-	XXYLT1 antisense RNA 2	ncRNA
*-184	chr9	93176948	93255601	+	0	NA	intron (NM_001282394, intron 1 of 29)	MER33|DNA|hAT-Charlie	31344	NM_006648	65268		NM_006648	ENSG00000165238	WNK2	NY-CO-43|P/OKcl.13|PRKWNK2|SDCCAG43	WNK lysine deficient protein kinase 2	protein-coding
*-318	chr21	32068698	32100951	+	0	NA	intron (NR_038033, intron 1 of 1)	intron (NR_038033, intron 1 of 1)	1471	NR_038033	100551499		NR_038033		LINC00159	C21orf44|NCRNA00159	long intergenic non-protein coding RNA 159	ncRNA
*-115	chr2	235629698	235760951	+	0	NA	intron (NM_001037131, intron 1 of 17)	HAL1b|LINE|L1	-177403	NR_146582	27321		NR_146582		TNRC17	CAGL234	trinucleotide repeat containing 17	ncRNA
*-167	chr10	78288248	78320651	+	0	NA	Intergenic	Intergenic	37107	NR_073447	414243		NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
*-307	chr6	89951448	89988701	+	0	NA	intron (NM_021813, intron 6 of 8)	intron (NM_021813, intron 6 of 8)	75605	NM_032602	84694		NM_032602	ENSG00000135355	GJA10	CX62	gap junction protein alpha 10	protein-coding
*-146	chr3	139525748	139543351	+	0	NA	intron (NM_001130992, intron 2 of 2)	intron (NM_001130992, intron 2 of 2)	5087	NM_001365940	5947		NM_002899	ENSG00000114115	RBP1	CRABP-I|CRBP|CRBP1|CRBPI|RBPC|hCRBP1	retinol binding protein 1	protein-coding
*-342	chr19	31300798	31345451	+	0	NA	intron (NR_138034, intron 1 of 1)	L1ME4a|LINE|L1	26312	NR_138036	57616		NM_020856	ENSG00000121297	TSHZ3	TSH3|ZNF537	teashirt zinc finger homeobox 3	protein-coding
