PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_AM_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-132	chr1	162872948	162948001	+	0	NA	Intergenic	MER21C|LTR|ERVL	-41659	NM_178550	339512		NM_178550	ENSG00000185860	CCDC190	C1orf110	coiled-coil domain containing 190	protein-coding
*-26	chr8	22373698	22425651	+	0	NA	intron (NM_001351660, intron 1 of 8)	intron (NM_001351660, intron 1 of 8)	6838	NM_001351659	23516		NM_015359	ENSG00000104635	SLC39A14	HCIN|HMNDYT2|LZT-Hs4|NET34|ZIP14|cig19	solute carrier family 39 member 14	protein-coding
*-134	chr1	179746161	179818501	+	0	NA	intron (NM_001329719, intron 1 of 4)	intron (NM_001329719, intron 1 of 4)	-21593	NR_162130	113219451		NR_162130		MIR12116	-	microRNA 12116	ncRNA
*-95	chr9	28029648	28058051	+	0	NA	intron (NM_152570, intron 5 of 6)	L1MC5|LINE|L1	-469983	NM_001256054	203228		NM_018325	ENSG00000147894	C9orf72	ALSFTD|DENND9|DENNL72|FTDALS|FTDALS1	C9orf72-SMCR8 complex subunit	protein-coding
*-155	chr15	36883448	37137951	+	0	NA	intron (NM_172316, intron 8 of 12)	intron (NM_172316, intron 8 of 12)	-37798	NR_107030	102466875		NR_107030	ENSG00000277202	MIR8063	hsa-mir-8063	microRNA 8063	ncRNA
*-136	chr18	48817798	48873851	+	0	NA	intron (NM_014772, intron 10 of 11)	L2c|LINE|L2	96983	NM_001190823	4092		NM_005904	ENSG00000101665	SMAD7	CRCS3|MADH7|MADH8	SMAD family member 7	protein-coding
*-98	chr12	12442198	12559513	+	0	NA	intron (NM_030640, intron 3 of 6)	intron (NM_030640, intron 3 of 6)	62008	NM_030640	80824		NM_030640	ENSG00000111266	DUSP16	MKP-7|MKP7	dual specificity phosphatase 16	protein-coding
*-20	chr11	103524148	103550051	+	0	NA	Intergenic	Intergenic	-312807	NR_039842	100616457		NR_039842	ENSG00000264200	MIR4693	-	microRNA 4693	ncRNA
*-15	chr11	44687348	44905601	+	0	NA	intron (NM_130783, intron 2 of 9)	intron (NM_130783, intron 2 of 9)	69512	NM_130783	90139		NM_130783	ENSG00000157570	TSPAN18	TSPAN	tetraspanin 18	protein-coding
*-157	chr15	57169698	57297251	+	0	NA	intron (NM_207038, intron 11 of 19)	AluJb|SINE|Alu	14044	NM_207040	6938		NM_003205	ENSG00000140262	TCF12	CRS3|HEB|HH26|HTF4|HsT17266|TCF-12|bHLHb20|p64	transcription factor 12	protein-coding
*-47	chr2	1625248	1741546	+	0	NA	intron (NM_012293, intron 6 of 22)	AluJb|SINE|Alu	61118	NM_012293	7837		NM_012293	ENSG00000130508	PXDN	ASGD7|COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO|hsPxd01	peroxidasin	protein-coding
*-91	chr10	71221227	71310151	+	0	NA	intron (NM_170744, intron 1 of 16)	intron (NM_170744, intron 1 of 16)	-47461	NR_038453	728978		NR_038453	ENSG00000237512	UNC5B-AS1	TP53LC05|UASR1	UNC5B antisense RNA 1	ncRNA
*-52	chr2	43298498	43361951	+	0	NA	intron (NR_144316, intron 29 of 36)	intron (NR_144316, intron 29 of 36)	103013	NR_027251	100129726		NM_178529	ENSG00000279873	LINC01126	-	long intergenic non-protein coding RNA 1126	ncRNA
*-19	chr11	78647848	78992901	+	0	NA	intron (NM_001098816, intron 12 of 33)	intron (NM_001098816, intron 12 of 33)	-245510	NM_001243251	79731		NM_024678	ENSG00000137513	NARS2	DFNB94|SLM5|asnRS	asparaginyl-tRNA synthetase 2, mitochondrial	protein-coding
*-43	chr5	150130798	150163779	+	0	NA	intron (NM_001355017, intron 1 of 22)	intron (NM_001355017, intron 1 of 22)	8557	NM_001355017	5159		NM_002609	ENSG00000113721	PDGFRB	CD140B|IBGC4|IMF1|JTK12|KOGS|PDGFR|PDGFR-1|PDGFR1|PENTT	platelet derived growth factor receptor beta	protein-coding
*-108	chr7	107894105	108031001	+	0	NA	intron (NM_002291, intron 15 of 33)	AluSx|SINE|Alu	40608	NM_002291	3912		NM_002291	ENSG00000091136	LAMB1	CLM|LIS5	laminin subunit beta 1	protein-coding
*-152	chr13	51587948	51646401	+	0	NA	intron (NM_052950, intron 1 of 11)	(AACTCT)n|Simple_repeat|Simple_repeat	32712	NM_052950	115825		NM_052950	ENSG00000139668	WDFY2	PROF|WDF2|ZFYVE22	WD repeat and FYVE domain containing 2	protein-coding
*-154	chr13	109742998	109791551	+	0	NA	intron (NM_003749, intron 1 of 1)	intron (NM_003749, intron 1 of 1)	19309	NM_003749	8660		NM_003749	ENSG00000185950	IRS2	IRS-2	insulin receptor substrate 2	protein-coding
*-32	chr5	10365548	10434501	+	0	NA	intron (NM_001270660, intron 9 of 24)	L1MC5a|LINE|L1	-2340	NR_162106	113218502		NR_162106		MIR10397	-	microRNA 10397	ncRNA
*-93	chr10	89258798	89297101	+	0	NA	Intergenic	Intergenic	-24097	NM_001547	3433		NM_001547	ENSG00000119922	IFIT2	G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54|ISG-54 K|ISG-54K|ISG54|P54|cig42	interferon induced protein with tetratricopeptide repeats 2	protein-coding
*-86	chr3	177729748	177837251	+	0	NA	Intergenic	Intergenic	-33366	NR_110826	102724550		NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
*-97	chr9	133813698	133983101	+	0	NA	intron (NM_001134398, intron 2 of 29)	AluSx1|SINE|Alu	93925	NM_003371	7410		NM_003371	ENSG00000160293	VAV2	VAV-2	vav guanine nucleotide exchange factor 2	protein-coding
*-41	chr5	135333248	135396237	+	0	NA	intron (NM_138610, intron 4 of 8)	intron (NM_138610, intron 4 of 8)	34489	NM_138610	9555		NM_004893	ENSG00000113648	MACROH2A1	H2A.y|H2A/y|H2AF12M|H2AFY|MACROH2A1.1|mH2A1|macroH2A1.2	macroH2A.1 histone	protein-coding
*-143	chr6	63800798	63820551	+	0	NA	intron (NR_157848, intron 1 of 1)	intron (NR_157848, intron 1 of 1)	3838	NR_157848	112935969		NR_157848	ENSG00000236345	SCAT8	EYS-AS1	S-phase cancer associated transcript 8	ncRNA
*-160	chr19	15244998	15332951	+	0	NA	intron (NM_001379291, intron 1 of 19)	intron (NM_001379291, intron 1 of 19)	-8523	NM_058243	23476		NM_014299	ENSG00000141867	BRD4	CAP|CDLS6|FSHRG4|HUNK1|HUNKI|MCAP	bromodomain containing 4	protein-coding
*-116	chr14	100380648	100493451	+	0	NA	intron (NM_001350949, intron 2 of 6)	intron (NM_001350949, intron 2 of 6)	60564	NM_024515	79446		NM_024515	ENSG00000176473	WDR25	C14orf67	WD repeat domain 25	protein-coding
*-64	chr2	197043948	197307796	+	0	NA	intron (NM_153697, intron 2 of 9)	MLT1J|LTR|ERVL-MaLR	-22119	NR_135584	101927596		NR_135584	ENSG00000231621	ANKRD44-AS1	-	ANKRD44 antisense RNA 1	ncRNA
*-74	chr16	81448168	81732251	+	0	NA	intron (NM_030629, intron 1 of 20)	intron (NM_030629, intron 1 of 20)	-21139	NR_106759	102465251		NR_106759	ENSG00000275109	MIR6504	hsa-mir-6504	microRNA 6504	ncRNA
*-48	chr2	6921681	7074879	+	0	NA	intron (NM_001349184, intron 3 of 8)	intron (NM_001349184, intron 3 of 8)	65196	NM_001349183	9781		NM_014746	ENSG00000151692	RNF144A	RNF144|UBCE7IP4|UIP4|hUIP4	ring finger protein 144A	protein-coding
*-30	chr8	97979548	98049801	+	0	NA	intron (NM_030583, intron 10 of 18)	MIRc|SINE|MIR	27543	NR_002581	26775		NR_002581	ENSG00000207067	SNORA72	RNU72|U72	small nucleolar RNA, H/ACA box 72	snoRNA
*-94	chr10	124953548	125155814	+	0	NA	intron (NM_001321013, intron 1 of 9)	intron (NM_001321013, intron 1 of 9)	-21811	NR_036178	100423041		NR_036178	ENSG00000264572	MIR4296	-	microRNA 4296	ncRNA
*-128	chr1	66222848	66297151	+	0	NA	intron (NM_001037340, intron 4 of 14)	MIR|SINE|MIR	-72109	NM_001037339	5142		NM_002600	ENSG00000184588	PDE4B	DPDE4|PDEIVB	phosphodiesterase 4B	protein-coding
*-63	chr2	191248526	191419101	+	0	NA	intron (NM_001161819, intron 4 of 30)	L3|LINE|CR1	88409	NM_001161819	4430		NM_012223	ENSG00000128641	MYO1B	MMI-alpha|MMIa|MYH-1c|myr1	myosin IB	protein-coding
*-73	chr16	72781248	73083351	+	0	NA	intron (NM_006885, intron 3 of 9)	intron (NM_006885, intron 3 of 9)	115829	NM_006885	463		NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ATFB8|C16orf47|SCA4|ZFH-3|ZNF927	zinc finger homeobox 3	protein-coding
*-67	chr2	231093998	231189551	+	0	NA	intron (NM_002807, intron 17 of 24)	intron (NM_002807, intron 17 of 24)	-16732	NM_000867	3357		NM_000867	ENSG00000135914	HTR2B	5-HT(2B)|5-HT-2B|5-HT2B	5-hydroxytryptamine receptor 2B	protein-coding
*-133	chr1	163115048	163207251	+	0	NA	promoter-TSS (NR_110699)	promoter-TSS (NR_110699)	-526	NR_110699	101928404		NR_110699	ENSG00000232892	RGS5-AS1	-	RGS5 antisense RNA 1	ncRNA
*-77	chr16	89291148	89486751	+	0	NA	intron (NR_045839, intron 2 of 9)	L1MEc|LINE|L1	-41969	NR_110931	101927817		NR_110931		LOC101927817	-	uncharacterized LOC101927817	ncRNA
*-61	chr2	158953298	159236351	+	0	NA	intron (NM_001350064, intron 3 of 26)	intron (NM_001350064, intron 3 of 26)	-92011	NR_106948	102465535		NR_106948	ENSG00000275141	MIR6888	hsa-mir-6888	microRNA 6888	ncRNA
*-71	chr16	21589248	21649665	+	0	NA	intron (NM_016025, intron 3 of 4).2	AluSx3|SINE|Alu	19879	NM_016025	51108		NM_016025	ENSG00000197006	METTL9	CGI-81|DREV|DREV1|PAP1|hMETTL9	methyltransferase 9, His-X-His N1(pi)-histidine	protein-coding
*-22	chr11	123065334	123214551	+	0	NA	intron (NM_024769, intron 1 of 6)	intron (NM_024769, intron 1 of 6)	55306	NM_024769	79827		NM_024769	ENSG00000166250	CLMP	ACAM|ASAM|CSBM|CSBS	CXADR like membrane protein	protein-coding
*-113	chr14	76900798	76986901	+	0	NA	Intergenic	AluSz|SINE|Alu	-15789	NR_133913	105370578		NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
*-146	chr6	125784159	125927551	+	0	NA	intron (NM_001199620, intron 5 of 17)	AluSx1|SINE|Alu	-36997	NR_126386	104355145		NR_126386	ENSG00000232131	NCOA7-AS1	-	NCOA7 antisense RNA 1	ncRNA
*-68	chr2	234954982	235056251	+	0	NA	intron (NM_001371304, intron 2 of 5)	intron (NM_001371304, intron 2 of 5)	-22119	NM_001371306	23677		NM_014521	ENSG00000130147	SH3BP4	BOG25|TTP	SH3 domain binding protein 4	protein-coding
*-44	chr5	164561448	164585101	+	0	NA	Intergenic	Intergenic	102995	NR_105065	102546299		NR_105065	ENSG00000241956	LOC102546299	-	uncharacterized LOC102546299	ncRNA
*-50	chr2	37550048	37714901	+	0	NA	Intergenic	Intergenic	39168	NM_006449	10602		NM_006449	ENSG00000163171	CDC42EP3	BORG2|CEP3|UB1	CDC42 effector protein 3	protein-coding
*-78	chr3	9379648	9461801	+	0	NA	intron (NM_001349451, intron 1 of 25)	intron (NM_001349451, intron 1 of 25)	23109	NM_001292043	55209		NM_018187	ENSG00000168137	SETD5	MRD23|SETD5A	SET domain containing 5	protein-coding
*-9	chr4	173986348	174051351	+	0	NA	Intergenic	Intergenic	121576	NR_146487	101928478		NR_146487	ENSG00000250708	LINC02269	-	long intergenic non-protein coding RNA 2269	ncRNA
*-153	chr13	97193348	97397351	+	0	NA	intron (NM_001382697, intron 2 of 4)	intron (NM_001382697, intron 2 of 4)	73016	NM_001382693	10150		NM_005757	ENSG00000139793	MBNL2	MBLL|MBLL39|PRO2032	muscleblind like splicing regulator 2	protein-coding
*-56	chr2	54459315	54680551	+	0	NA	intron (NM_178313, intron 1 of 30)	intron (NM_178313, intron 1 of 30)	11539	NM_178313	6711		NM_003128	ENSG00000115306	SPTBN1	DDISBA|ELF|HEL102|SPTB2|betaSpII	spectrin beta, non-erythrocytic 1	protein-coding
*-65	chr2	207054648	207163015	+	0	NA	intron (NR_073108, intron 3 of 4)	intron (NR_073108, intron 3 of 4)	1242	NR_036227	100423036		NR_036227	ENSG00000253008	MIR2355	mir-2355	microRNA 2355	ncRNA
*-75	chr16	85293598	85403651	+	0	NA	Intergenic	MIRc|SINE|MIR	-42299	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
*-142	chr6	56505448	56577851	+	0	NA	intron (NM_015548, intron 42 of 83)	intron (NM_015548, intron 42 of 83)	101240	NM_001723	667		NM_001723	ENSG00000151914	DST	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBS3|EBSB2|HSAN6|MACF2	dystonin	protein-coding
*-144	chr6	83576598	83627001	+	0	NA	intron (NR_164845, intron 13 of 29)	MIR3|SINE|MIR	89265	NM_153362	167681		NM_153362	ENSG00000146250	PRSS35	C6orf158|dJ223E3.1	serine protease 35	protein-coding
*-79	chr3	29284310	29808201	+	0	NA	intron (NM_001003793, intron 3 of 14)	MIR|SINE|MIR	264943	NM_001177712	27303		NM_014483	ENSG00000144642	RBMS3	-	RNA binding motif single stranded interacting protein 3	protein-coding
*-69	chr2	237862542	237926151	+	0	NA	intron (NM_005855, intron 2 of 2)	intron (NM_005855, intron 2 of 2)	34723	NM_001308353	10267		NM_005855	ENSG00000132329	RAMP1	-	receptor activity modifying protein 1	protein-coding
*-120	chr1	1775298	1888116	+	0	NA	intron (NM_001282539, intron 1 of 10)	AluSz|SINE|Alu	-51676	NM_001198994	65220		NM_023018	ENSG00000008130	NADK	NADK1|dJ283E3.1	NAD kinase	protein-coding
*-145	chr6	108563864	108687251	+	0	NA	intron (NM_201559, intron 2 of 3)	intron (NM_201559, intron 2 of 3)	64640	NM_001455	2309		NM_001455	ENSG00000118689	FOXO3	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A	forkhead box O3	protein-coding
*-36	chr5	51957398	52018551	+	0	NA	Intergenic	Intergenic	-20057	NR_147166	105378960		NR_147166	ENSG00000248789	LINC02118	-	long intergenic non-protein coding RNA 2118	ncRNA
*-121	chr1	19338248	19481706	+	0	NA	intron (NM_001313932, intron 2 of 4)	intron (NM_001313932, intron 2 of 4)	74318	NM_001282162	832		NM_004930	ENSG00000077549	CAPZB	CAPB|CAPPB|CAPZ	capping actin protein of muscle Z-line subunit beta	protein-coding
*-4	chr4	118728798	118833195	+	0	NA	intron (NM_014822, intron 8 of 22)	L1PA6|LINE|L1	55130	NM_014822	9871		NM_014822	ENSG00000150961	SEC24D	CLCRP2	SEC24 homolog D, COPII coat complex component	protein-coding
*-82	chr3	141383498	141452001	+	0	NA	intron (NM_001376186, intron 3 of 3)	AluSc|SINE|Alu	14735	NM_001376189	253461		NM_152535	ENSG00000177311	ZBTB38	CIBZ|PPP1R171|ZNF921	zinc finger and BTB domain containing 38	protein-coding
*-14	chr11	43889948	43964701	+	0	NA	Intergenic	Intergenic	-6380	NR_038907	100507300		NR_038907	ENSG00000244926	ALKBH3-AS1	-	ALKBH3 antisense RNA 1	ncRNA
*-147	chr6	155241548	155311482	+	0	NA	TTS (NM_001001346)	TTS (NM_001001346)	12502	NM_001001346	49861		NM_001001346	ENSG00000171217	CLDN20	-	claudin 20	protein-coding
*-109	chr7	133645298	133889101	+	0	NA	intron (NM_021807, intron 10 of 17)	intron (NM_021807, intron 10 of 17)	57689	NR_120513	101928861		NR_120513		LOC101928861	-	uncharacterized LOC101928861	ncRNA
*-123	chr1	26690348	26784961	+	0	NA	intron (NM_139135, intron 4 of 19)	AluSp|SINE|Alu	41639	NM_006015	8289		NM_006015	ENSG00000117713	ARID1A	B120|BAF250|BAF250a|BM029|C1orf4|CSS2|ELD|MRD14|OSA1|P270|SMARCF1|hELD|hOSA1	AT-rich interaction domain 1A	protein-coding
*-21	chr11	113089398	113215951	+	0	NA	intron (NM_001076682, intron 1 of 18)	L2c|LINE|L2	121227	NR_034101	100288346		NR_034101		NCAM1-AS1	-	NCAM1 antisense RNA1	ncRNA
*-62	chr2	188300490	188549601	+	0	NA	intron (NM_001375925, intron 2 of 11)	L1MC5|LINE|L1	127553	NR_030287	693146		NR_030287	ENSG00000207951	MIR561	MIRN561|hsa-mir-561|mir-561	microRNA 561	ncRNA
*-72	chr16	53058148	53143501	+	0	NA	intron (NR_168108, intron 2 of 2)	MIRc|SINE|MIR	-30188	NM_001352127	80205		NM_015287	ENSG00000177200	CHD9	AD013|CHD-9|CReMM|KISH2|PRIC320	chromodomain helicase DNA binding protein 9	protein-coding
*-28	chr8	26570698	26659751	+	0	NA	intron (NM_001244604, intron 3 of 13)	MIR|SINE|MIR	36819	NM_001244604	1808		NM_001386	ENSG00000092964	DPYSL2	CRMP-2|CRMP2|DHPRP2|DRP-2|DRP2|N2A3|ULIP-2|ULIP2	dihydropyrimidinase like 2	protein-coding
*-90	chr10	63503398	63643551	+	0	NA	intron (NM_001001330, intron 2 of 7)	intron (NM_001001330, intron 2 of 7)	-51584	NM_001318154	221037		NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
*-138	chr18	55464798	55523401	+	0	NA	intron (NM_001369569, intron 3 of 19)	intron (NM_001369569, intron 3 of 19)	14878	NR_039754	100616290		NR_039754	ENSG00000264571	MIR4529	-	microRNA 4529	ncRNA
*-34	chr5	51370198	51417601	+	0	NA	3' UTR (NM_002202, exon 6 of 6)	3' UTR (NM_002202, exon 6 of 6)	10451	NM_002202	3670		NM_002202	ENSG00000016082	ISL1	ISLET1|Isl-1	ISL LIM homeobox 1	protein-coding
*-16	chr11	72291098	72380501	+	0	NA	intron (NM_001258394, intron 7 of 17)	L2c|LINE|L2	-91623	NM_005169	401		NM_005169	ENSG00000165462	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	paired like homeobox 2A	protein-coding
*-150	chr13	36829548	36917271	+	0	NA	intron (NM_005905, intron 2 of 5)	intron (NM_005905, intron 2 of 5)	46627	NM_001378621	4093		NM_005905	ENSG00000120693	SMAD9	MADH6|MADH9|PPH2|SMAD8|SMAD8/9|SMAD8A|SMAD8B	SMAD family member 9	protein-coding
*-118	chr22	35869748	36039551	+	0	NA	intron (NM_001349999, intron 1 of 13)	intron (NM_001349999, intron 1 of 13)	6981	NM_001349994	23543		NM_014309	ENSG00000100320	RBFOX2	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	RNA binding fox-1 homolog 2	protein-coding
*-54	chr2	44670798	44715601	+	0	NA	intron (NM_024766, intron 3 of 10)	L2c|LINE|L2	245689	NR_147194	107985879		NR_147194	ENSG00000259439	LINC01833	K21.1|RP11-89	long intergenic non-protein coding RNA 1833	ncRNA
*-40	chr5	124633398	124693651	+	0	NA	intron (NM_001385621, intron 2 of 8)	intron (NM_001385621, intron 2 of 8)	83115	NM_020747	57507		NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
*-89	chr10	58636898	58675201	+	0	NA	intron (NM_001080512, intron 2 of 20)	L1PA2|LINE|L1	-58966	NR_027508	728640		NR_027508		FAM133CP	-	family with sequence similarity 133, member A pseudogene	pseudo
*-23	chr17	17684471	17969469	+	0	NA	intron (NM_001005291, intron 1 of 19)	L2a|LINE|L2	-3340	NM_001321096	6720		NM_004176	ENSG00000072310	SREBF1	HMD|IFAP2|SREBP1|bHLHd1	sterol regulatory element binding transcription factor 1	protein-coding
*-106	chr7	77674048	77766751	+	0	NA	intron (NM_198467, intron 1 of 7)	AluSp|SINE|Alu	-23054	NR_038361	100505854		NR_038361	ENSG00000214293	APTR	RSBN1L-AS1	Alu-mediated CDKN1A/p21 transcriptional regulator	ncRNA
*-151	chr13	46560748	46709551	+	0	NA	intron (NM_015116, intron 1 of 18)	L2a|LINE|L2	81979	NM_015116	23143		NM_015116	ENSG00000136141	LRCH1	CHDC1|NP81	leucine rich repeats and calponin homology domain containing 1	protein-coding
*-27	chr8	23296298	23373251	+	0	NA	intron (NM_002318, intron 4 of 13)	MIR|SINE|MIR	-1434	NR_038323	100507156		NR_038323	ENSG00000253837	LOXL2-AS1	-	LOXL2 antisense RNA 1	ncRNA
*-85	chr3	177588398	177620651	+	0	NA	intron (NR_047568, intron 2 of 3)	AluSc|SINE|Alu	162603	NR_047568	100505566		NR_047568	ENSG00000228221	LINC00578	-	long intergenic non-protein coding RNA 578	ncRNA
*-88	chr10	32904471	32963751	+	0	NA	intron (NM_133376, intron 2 of 15)	L1ME4a|LINE|L1	1447	NM_033668	3688		NM_002211	ENSG00000150093	ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	integrin subunit beta 1	protein-coding
*-104	chr7	19072298	19114671	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	24152	NM_000474	7291		NM_000474	ENSG00000122691	TWIST1	ACS3|BPES2|BPES3|CRS|CRS1|CSO|SCS|SWCOS|TWIST|bHLHa38	twist family bHLH transcription factor 1	protein-coding
*-110	chr7	157351948	157408951	+	0	NA	intron (NM_001363676, intron 5 of 6)	intron (NM_001363676, intron 5 of 6)	43445	NM_005494	10049		NM_005494	ENSG00000105993	DNAJB6	DJ4|DnaJ|HHDJ1|HSJ-2|HSJ2|LGMD1D|LGMD1E|LGMDD1|MRJ|MSJ-1	DnaJ heat shock protein family (Hsp40) member B6	protein-coding
*-102	chr12	124343948	124464751	+	0	NA	intron (NM_001077261, intron 15 of 47)	intron (NM_001077261, intron 15 of 47)	-67107	NR_106940	102466204		NR_106940	ENSG00000275967	MIR6880	hsa-mir-6880	microRNA 6880	ncRNA
