PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_A_u_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-116	chr3	197158948	197192101	+	0	NA	intron (NM_001366214, intron 5 of 25)	intron (NM_001366214, intron 5 of 25)	8348	NM_001366221	1739		NM_004087	ENSG00000075711	DLG1	DLGH1|SAP-97|SAP97|hdlg	discs large MAGUK scaffold protein 1	protein-coding
*-23	chr11	79261498	79309951	+	0	NA	intron (NM_001098816, intron 2 of 33)	L1MB7|LINE|L1	116385	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
*-161	chr10	76543548	76556801	+	0	NA	intron (NM_032024, intron 5 of 5)	intron (NM_032024, intron 5 of 5)	-337870	NR_120655	101929328		NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
*-32	chr5	76086412	76272601	+	0	NA	intron (NM_014979, intron 2 of 12)	intron (NM_014979, intron 2 of 12)	96123	NM_001297716	22987		NM_014979	ENSG00000122012	SV2C	SLC22B3	synaptic vesicle glycoprotein 2C	protein-coding
*-164	chr10	86210298	86268001	+	0	NA	intron (NM_017551, intron 2 of 15)	MSTA-int|LTR|ERVL-MaLR	25639	NR_029907	442911		NR_029907	ENSG00000199104	MIR346	MIRN346|hsa-mir-346|miR-346|miRNA346	microRNA 346	ncRNA
*-74	chr2	174803498	174916151	+	0	NA	intron (NR_038133, intron 5 of 11)	intron (NR_038133, intron 5 of 11)	-12269	NM_001206602	1123		NM_001822	ENSG00000128656	CHN1	ARHGAP2|CHN|DURS2|NC|RHOGAP2	chimerin 1	protein-coding
*-179	chr8	37781848	37827501	+	0	NA	intron (NM_032777, intron 1 of 18)	intron (NM_032777, intron 1 of 18)	7791	NM_032777	25960		NM_032777	ENSG00000020181	ADGRA2	GPR124|TEM5	adhesion G protein-coupled receptor A2	protein-coding
*-88	chr9	97504637	97630051	+	0	NA	intron (NM_001166116, intron 7 of 9)	MamRep38|DNA|hAT	65678	NM_003275	7111		NM_003275	ENSG00000136842	TMOD1	D9S57E|ETMOD|TMOD	tropomodulin 1	protein-coding
*-49	chr1	60848098	60991601	+	0	NA	Intergenic	GA-rich|Low_complexity|Low_complexity	50927	NR_110618	100996570		NR_110617	ENSG00000237928	NFIA-AS2	-	NFIA antisense RNA 2	ncRNA
*-53	chr1	96965698	96999451	+	0	NA	Intergenic	Intergenic	-113349	NR_046590	100873932		NR_046590	ENSG00000232878	DPYD-AS1	-	DPYD antisense RNA 1	ncRNA
*-132	chr14	89383098	89431101	+	0	NA	intron (NM_001085471, intron 2 of 6)	L1MC5a|LINE|L1	10134	NM_005197	1112		NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
*-41	chr5	160244248	160309151	+	0	NA	intron (NM_024565, intron 3 of 6)	L1MB5|LINE|L1	35865	NM_024565	79616		NM_024565	ENSG00000135083	CCNJL	-	cyclin J like	protein-coding
*-157	chr10	21626648	21673851	+	0	NA	intron (NR_136736, intron 9 of 25)	AluJr|SINE|Alu	116017	NM_001195626	8028		NM_004641	ENSG00000078403	MLLT10	AF10	MLLT10 histone lysine methyltransferase DOT1L cofactor	protein-coding
*-113	chr3	141055348	141109501	+	0	NA	intron (NM_080862, intron 2 of 2)	intron (NM_080862, intron 2 of 2)	31077	NM_080862	92369		NM_080862	ENSG00000175093	SPSB4	SSB-4|SSB4	splA/ryanodine receptor domain and SOCS box containing 4	protein-coding
*-99	chr3	12979648	13079101	+	0	NA	intron (NM_001134382, intron 1 of 13)	MIR|SINE|MIR	-42273	NM_001330619	9922		NM_014869	ENSG00000144711	IQSEC1	ARF-GEP100|ARFGEP100|BRAG2|GEP100|IDDSSBA	IQ motif and Sec7 domain ArfGEF 1	protein-coding
*-149	chr20	25461798	25574451	+	0	NA	intron (NM_001318226, intron 2 of 22)	intron (NM_001318226, intron 2 of 22)	67407	NM_025176	22981		NM_025176	ENSG00000101004	NINL	NLP	ninein like	protein-coding
*-77	chr2	231267248	231321651	+	0	NA	intron (NR_148040, intron 19 of 21)	intron (NR_148040, intron 19 of 21)	-68259	NR_039937	100616317		NR_039937	ENSG00000263641	MIR4777	-	microRNA 4777	ncRNA
*-20	chr11	68361948	68406201	+	0	NA	intron (NM_002335, intron 5 of 22)	intron (NM_002335, intron 5 of 22)	71483	NM_002335	4041		NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
*-120	chr7	18771698	18851751	+	0	NA	intron (NM_001321868, intron 17 of 25)	intron (NM_001321868, intron 17 of 25)	302454	NM_001204148	9734		NM_014707	ENSG00000048052	HDAC9	ARCND4|HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
*-167	chr10	109955448	109980151	+	0	NA	intron (NR_038943, intron 2 of 4)	intron (NR_038943, intron 2 of 4)	-28574	NM_001320591	120		NM_001121	ENSG00000148700	ADD3	ADDL|CPSQ3	adducin 3	protein-coding
*-91	chr9	135116448	135169001	+	0	NA	Intergenic	L2a|LINE|L2	-38885	NR_046107	401557		NR_046107		LOC401557	-	uncharacterized LOC401557	ncRNA
*-128	chrX	72072248	72127751	+	0	NA	intron (NM_001013627, intron 1 of 7)	intron (NM_001013627, intron 1 of 7)	31916	NM_001024455	340526		NM_001024455	ENSG00000242732	RTL5	6430402L03Rik|MAR5|MART5|RGAG4|SIRH8	retrotransposon Gag like 5	protein-coding
*-54	chr1	113197898	113235751	+	0	NA	Intergenic	Intergenic	-10571	NR_038846	643441		NR_038846		LOC643441	-	uncharacterized LOC643441	ncRNA
*-142	chr6	37438048	37518751	+	0	NA	intron (NM_015050, intron 21 of 23)	intron (NM_015050, intron 21 of 23)	21494	NM_138493	154467		NM_138493	ENSG00000198937	CCDC167	C6orf129|HSPC265	coiled-coil domain containing 167	protein-coding
*-27	chr11	117486348	117539501	+	0	NA	intron (NM_020693, intron 8 of 32)	intron (NM_020693, intron 8 of 32)	185070	NM_014956	22897		NM_014956	ENSG00000110274	CEP164	NPHP15	centrosomal protein 164	protein-coding
*-186	chr21	32068698	32100951	+	0	NA	intron (NR_038033, intron 1 of 1)	intron (NR_038033, intron 1 of 1)	1471	NR_038033	100551499		NR_038033		LINC00159	C21orf44|NCRNA00159	long intergenic non-protein coding RNA 159	ncRNA
*-89	chr9	127621448	127669201	+	0	NA	intron (NM_001374312, intron 2 of 19)	intron (NM_001374312, intron 2 of 19)	33047	NM_001374311	6812		NM_003165	ENSG00000136854	STXBP1	DEE4|MUNC18-1|N-Sec1|NSEC1|P67|RBSEC1|UNC18|unc-18A|unc18-1	syntaxin binding protein 1	protein-coding
*-70	chr2	121553648	121646475	+	0	NA	intron (NM_001142274, intron 2 of 37)	intron (NM_001142274, intron 2 of 37)	49401	NM_001378005	23332		NM_015282	ENSG00000074054	CLASP1	MAST1	cytoplasmic linker associated protein 1	protein-coding
*-139	chr22	43221698	43320651	+	0	NA	intron (NM_173050, intron 4 of 21)	L2b|LINE|L2	-4768	NR_134582	101927447		NR_134582	ENSG00000203527	SCUBE1-AS1	-	SCUBE1 antisense RNA 1	ncRNA
*-81	chr17	17050748	17147201	+	0	NA	intron (NM_015134, intron 3 of 22)	intron (NM_015134, intron 3 of 22)	56517	NM_201274	23164		NM_015134	ENSG00000133030	MPRIP	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	myosin phosphatase Rho interacting protein	protein-coding
*-38	chr5	138944298	138971401	+	0	NA	intron (NM_022464, intron 7 of 9)	L1MC4|LINE|L1	82449	NM_001323997	1495		NM_001903	ENSG00000044115	CTNNA1	CAP102|MDBS2|MDPT2	catenin alpha 1	protein-coding
*-75	chr2	176537198	176591351	+	0	NA	Intergenic	Intergenic	36778	NR_031648	100302142		NR_031648	ENSG00000283203	MIR1246	MIRN1246|hsa-mir-1246	microRNA 1246	ncRNA
*-82	chr17	50902798	50979701	+	0	NA	Intergenic	Intergenic	-73271	NM_001243877	10140		NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
*-76	chr2	209618948	209713951	+	0	NA	intron (NR_164699, intron 1 of 6)	intron (NR_164699, intron 1 of 6)	4953	NR_164696	4133		NM_002374	ENSG00000078018	MAP2	MAP-2|MAP2A|MAP2B|MAP2C	microtubule associated protein 2	protein-coding
*-144	chr6	51548698	51582001	+	0	NA	Intergenic	MER20|DNA|hAT-Charlie	-56521	NR_125840	101927082		NR_125840		LOC101927082	-	uncharacterized LOC101927082	ncRNA
*-177	chr16	72194398	72222501	+	0	NA	Intergenic	Intergenic	-35999	NM_001160213	83449		NM_031293	ENSG00000118557	PMFBP1	SPGF31|STAP	polyamine modulated factor 1 binding protein 1	protein-coding
*-141	chr6	21184148	21207151	+	0	NA	intron (NM_017774, intron 13 of 15)	AluJb|SINE|Alu	316243	NR_103790	100874531		NR_103790	ENSG00000280989	LINC00581	linc-MBOAT1-4	long intergenic non-protein coding RNA 581	ncRNA
*-14	chr11	12498848	12525851	+	0	NA	intron (NM_018222, intron 8 of 12)	intron (NM_018222, intron 8 of 12)	134778	NM_018222	55742		NM_018222	ENSG00000197702	PARVA	CH-ILKBP|MXRA2	parvin alpha	protein-coding
*-185	chr21	28231666	28285801	+	0	NA	Intergenic	Intergenic	-30066	NR_126012	101927973		NR_126012	ENSG00000236532	LINC01695	-	long intergenic non-protein coding RNA 1695	ncRNA
*-190	chr19	30508248	30574701	+	0	NA	intron (NM_001352260, intron 3 of 5)	intron (NM_001352260, intron 3 of 5)	169090	NM_001352260	9745		NM_014717	ENSG00000198597	ZNF536	-	zinc finger protein 536	protein-coding
*-25	chr11	115190848	115223851	+	0	NA	intron (NM_001301045, intron 7 of 10)	intron (NM_001301045, intron 7 of 10)	-126228	NR_135108	105369509		NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
*-5	chr4	140003398	140119401	+	0	NA	intron (NM_018717, intron 1 of 4)	intron (NM_018717, intron 1 of 4)	-66616	NR_147610	101927516		NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
*-92	chr18	36680348	36757051	+	0	NA	exon (NM_001281740, exon 19 of 29)	exon (NM_001281740, exon 19 of 29)	-55281	NR_132982	105372071		NR_132982		LOC105372071	-	uncharacterized LOC105372071	ncRNA
*-118	chr7	7609798	7625701	+	0	NA	Intergenic	Intergenic	-23003	NM_001302350	729852		NM_001302348	ENSG00000219545	UMAD1	RPA3-AS1|RPA3OS	UBAP1-MVB12-associated (UMA) domain containing 1	protein-coding
*-68	chr2	85519198	85549151	+	0	NA	Intergenic	MER21A|LTR|ERVL	4712	NR_038942	100630918		NR_038942	ENSG00000286532	PARTICL	PARTICLE	promoter of MAT2A antisense radiation-induced circulating long non-coding RNA	ncRNA
*-110	chr3	128315898	128437901	+	0	NA	intron (NM_021937, intron 6 of 6)	intron (NM_021937, intron 6 of 6)	-86695	NR_037890	285224		NR_037890	ENSG00000242049	DNAJB8-AS1	-	DNAJB8 antisense RNA 1	ncRNA
*-131	chr14	77031698	77051451	+	0	NA	intron (NR_110554, intron 1 of 3)	intron (NR_110554, intron 1 of 3)	525	NR_110554	283575		NR_110554	ENSG00000246548	LINC02288	-	long intergenic non-protein coding RNA 2288	ncRNA
*-107	chr3	94093498	94142451	+	0	NA	intron (NM_022072, intron 5 of 5)	L1MA4|LINE|L1	54913	NM_022072	63899		NM_022072	ENSG00000178694	NSUN3	COXPD48|MST077|MSTP077	NOP2/Sun RNA methyltransferase 3	protein-coding
*-13	chr11	10017148	10093351	+	0	NA	intron (NM_030962, intron 2 of 39)	L1PB3|LINE|L1	216107	NR_120539	101928008		NR_120539	ENSG00000255476	LOC101928008	-	uncharacterized LOC101928008	ncRNA
*-26	chr11	115241548	115306651	+	0	NA	intron (NM_001301043, intron 1 of 11)	intron (NM_001301043, intron 1 of 11)	-59478	NR_135108	105369509		NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
*-123	chr7	70754698	70798101	+	0	NA	intron (NM_015570, intron 13 of 18)	intron (NM_015570, intron 13 of 18)	-355745	NM_022479	64409		NM_022479	ENSG00000185274	GALNT17	GALNACT17|GALNT16|GALNT20|GALNTL3|GalNAc-T17|GalNAc-T19|GalNAc-T5L|WBSCR17	polypeptide N-acetylgalactosaminyltransferase 17	protein-coding
*-42	chr5	164496798	164540901	+	0	NA	intron (NR_105065, intron 2 of 3)	MLT1H|LTR|ERVL-MaLR	48570	NR_105065	102546299		NR_105065	ENSG00000241956	LOC102546299	-	uncharacterized LOC102546299	ncRNA
*-134	chr14	95380448	95448951	+	0	NA	3' UTR (NM_152592, exon 18 of 18)	3' UTR (NM_152592, exon 18 of 18)	85115	NR_110127	101929080		NR_110127	ENSG00000258630	LINC02292	-	long intergenic non-protein coding RNA 2292	ncRNA
*-31	chr5	68992398	69037351	+	0	NA	intron (NR_130778, intron 1 of 3)	intron (NR_130778, intron 1 of 3)	15053	NR_130778	101928885		NR_130778		LINC02198	-	long intergenic non-protein coding RNA 2198	ncRNA
*-56	chr1	168687098	168732501	+	0	NA	intron (NM_001937, intron 2 of 3)	intron (NM_001937, intron 2 of 3)	19407	NM_001937	1805		NM_001937	ENSG00000143196	DPT	TRAMP	dermatopontin	protein-coding
*-162	chr10	76867948	76987051	+	0	NA	intron (NM_001322836, intron 23 of 27)	(TTTAAT)n|Simple_repeat|Simple_repeat	39455	NR_120655	101929328		NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
*-126	chr7	133930198	133989901	+	0	NA	intron (NM_021807, intron 14 of 17)	HAL1|LINE|L1	-135161	NR_120513	101928861		NR_120513		LOC101928861	-	uncharacterized LOC101928861	ncRNA
*-39	chr5	141812348	141859551	+	0	NA	Intergenic	Intergenic	30253	NM_001278615	5097		NM_002587	ENSG00000156453	PCDH1	PC42|PCDH42	protocadherin 1	protein-coding
*	chr4	17472448	17529851	+	0	NA	intron (NM_000320, intron 4 of 6)	MIRb|SINE|MIR	10941	NM_000320	5860		NM_000320	ENSG00000151552	QDPR	DHPR|HDHPR|PKU2|SDR33C1	quinoid dihydropteridine reductase	protein-coding
*-2	chr4	38903148	38952601	+	0	NA	3' UTR (NM_001350635, exon 9 of 9)	3' UTR (NM_001350635, exon 9 of 9)	59842	NR_030300	693159		NR_030300	ENSG00000207944	MIR574	MIR574-3p|MIRN574|hsa-mir-574|mir-574	microRNA 574	ncRNA
*-104	chr3	50368332	50451051	+	0	NA	intron (NM_006030, intron 3 of 37)	MIRb|SINE|MIR	44328	NR_111914	101928965		NR_111913	ENSG00000271858	LOC101928965	-	uncharacterized LOC101928965	ncRNA
*-55	chr1	165832948	165904751	+	0	NA	intron (NM_012474, intron 1 of 6)	Tigger1|DNA|TcMar-Tigger	-39072	NR_037431	100500832		NR_037431	ENSG00000283936	MIR3658	-	microRNA 3658	ncRNA
*-152	chr20	64144548	64233951	+	0	NA	intron (NM_004535, intron 1 of 22)	intron (NM_004535, intron 1 of 22)	24797	NM_004535	4661		NM_004535	ENSG00000196132	MYT1	C20orf36|MTF1|MYTI|NZF2|PLPB1|ZC2H2C1|ZC2HC4A	myelin transcription factor 1	protein-coding
*-101	chr3	18099098	18144051	+	0	NA	intron (NR_161333, intron 4 of 4)	MLT1I|LTR|ERVL-MaLR	159022	NR_161333	339862		NR_046199		BALR6	BALR-6	B-cell acute lymphoblastic leukemia associated long RNA 6	ncRNA
*-137	chr22	19966751	20013751	+	0	NA	intron (NM_001670, intron 3 of 19)	intron (NM_001670, intron 3 of 19)	26498	NR_039918	100616414		NR_039918	ENSG00000284031	MIR4761	-	microRNA 4761	ncRNA
*-10	chr12	107356598	107405801	+	0	NA	intron (NM_001347944, intron 1 of 14)	L2a|LINE|L2	60611	NM_001347944	121551		NM_152322	ENSG00000151136	ABTB3	ABTB2B|BTBD11	ankyrin repeat and BTB domain containing 3	protein-coding
*-115	chr3	178057848	178089251	+	0	NA	Intergenic	Intergenic	256684	NR_110826	102724550		NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
*-69	chr2	111127298	111166501	+	0	NA	TTS (NM_001204113)	TTS (NM_001204113)	25985	NM_001204113	10018		NM_006538	ENSG00000153094	BCL2L11	BAM|BIM|BOD	BCL2 like 11	protein-coding
*-188	chr19	30109348	30160551	+	0	NA	Intergenic	L2b|LINE|L2	-90643	NM_001376110	9745		NM_014717	ENSG00000198597	ZNF536	-	zinc finger protein 536	protein-coding
*-159	chr10	42957598	42978506	+	0	NA	Intergenic	L1ME3C|LINE|L1	13455	NR_126352	104266963		NR_126352	ENSG00000229630	LINC01264	-	long intergenic non-protein coding RNA 1264	ncRNA
*-180	chr8	47809148	47873301	+	0	NA	intron (NM_006904, intron 54 of 85)	L1PA16|LINE|L1	-103060	NM_005195	1052		NM_005195	ENSG00000221869	CEBPD	C/EBP-delta|CELF|CRP3|NF-IL6-beta	CCAAT enhancer binding protein delta	protein-coding
*-61	chr2	11738348	11831951	+	0	NA	intron (NM_145693, intron 9 of 19)	intron (NM_145693, intron 9 of 19)	17705	NR_036071	100422862		NR_036071	ENSG00000265056	MIR548S	-	microRNA 548s	ncRNA
*-171	chr15	47325348	47366951	+	0	NA	intron (NM_001198999, intron 1 of 19)	intron (NM_001198999, intron 1 of 19)	162060	NM_001198999	80031		NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
*-7	chr4	173744898	173767901	+	0	NA	Intergenic	AluJb|SINE|Alu	-140874	NR_146487	101928478		NR_146487	ENSG00000250708	LINC02269	-	long intergenic non-protein coding RNA 2269	ncRNA
*-147	chr6	105300498	105373051	+	0	NA	intron (NM_002726, intron 7 of 14)	L1MEg|LINE|L1	66308	NM_002726	5550		NM_002726	ENSG00000085377	PREP	PE|PEP	prolyl endopeptidase	protein-coding
*-17	chr11	36589198	36636901	+	0	NA	intron (NM_001276725, intron 2 of 3)	intron (NM_001276725, intron 2 of 3)	-14770	NM_001243786	5897		NM_000536	ENSG00000175097	RAG2	RAG-2	recombination activating 2	protein-coding
*-174	chr15	101120048	101274519	+	0	NA	intron (NM_014918, intron 2 of 2)	intron (NM_014918, intron 2 of 2)	54765	NM_014918	22856		NM_014918	ENSG00000131873	CHSY1	CHSY|CSS1|ChSy-1|TPBS	chondroitin sulfate synthase 1	protein-coding
*-169	chr15	28885398	28956801	+	0	NA	promoter-TSS (NM_005503)	promoter-TSS (NM_005503)	-538	NM_001130414	321		NM_005503	ENSG00000034053	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	amyloid beta precursor protein binding family A member 2	protein-coding
*-45	chr1	7608298	7647251	+	0	NA	intron (NM_001349608, intron 5 of 21)	MIR|SINE|MIR	-41956	NM_001349620	23261		NM_015215	ENSG00000171735	CAMTA1	CANPMR|CECBA	calmodulin binding transcription activator 1	protein-coding
*-117	chr7	2098898	2177301	+	0	NA	intron (NM_001304524, intron 9 of 16)	intron (NM_001304524, intron 9 of 16)	-49047	NR_145797	109623488		NR_145797		SNORA114	-	small nucleolar RNA, H/ACA box 114	snoRNA
*-96	chr18	59476548	59522351	+	0	NA	intron (NM_133459, intron 2 of 10)	THE1B|LTR|ERVL-MaLR	-140184	NM_005570	3998		NM_005570	ENSG00000074695	LMAN1	ERGIC-53|ERGIC53|F5F8D|FMFD1|MCFD1|MR60|gp58	lectin, mannose binding 1	protein-coding
*-153	chr10	1241298	1298651	+	0	NA	intron (NM_018702, intron 4 of 9)	intron (NM_018702, intron 4 of 9)	110206	NR_015376	399706		NM_001010910	ENSG00000229205	LINC00200	C10orf139|NCRNA00200	long intergenic non-protein coding RNA 200	ncRNA
*-108	chr3	97709548	97744701	+	0	NA	intron (NM_001080448, intron 15 of 17)	intron (NM_001080448, intron 15 of 17)	-37397	NM_177976	84100		NM_032146	ENSG00000113966	ARL6	BBS3|RP55	ADP ribosylation factor like GTPase 6	protein-coding
*-33	chr5	80167048	80220801	+	0	NA	intron (NM_001174072, intron 2 of 11)	intron (NM_001174072, intron 2 of 11)	62124	NM_178276	256987		NM_178276	ENSG00000164300	SERINC5	C5orf12|TPO1	serine incorporator 5	protein-coding
*-100	chr3	13497198	13588951	+	0	NA	Intergenic	Intergenic	-6051	NM_001998	2199		NM_001998	ENSG00000163520	FBLN2	-	fibulin 2	protein-coding
*-22	chr11	75301198	75348830	+	0	NA	intron (NM_020251, intron 1 of 14)	intron (NM_020251, intron 1 of 14)	10172	NR_029891	442900		NR_029891	ENSG00000199090	MIR326	MIRN326|hsa-mir-326|mir-326	microRNA 326	ncRNA
*-64	chr2	29514698	29663551	+	0	NA	intron (NM_004304, intron 3 of 28)	Chap1_Mam|DNA|hAT-Charlie	-113747	NR_136317	105374389		NR_136317		LOC105374389	-	uncharacterized LOC105374389	ncRNA
*-145	chr6	51949998	52022801	+	0	NA	intron (NM_170724, intron 35 of 60)	Tigger15a|DNA|TcMar-Tigger	101214	NM_170724	5314		NM_138694	ENSG00000170927	PKHD1	ARPKD|FCYT|FPC|PCYT|PKD4|TIGM1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin	protein-coding
*-163	chr10	78288248	78320651	+	0	NA	Intergenic	Intergenic	37107	NR_073447	414243		NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
*-46	chr1	15137348	15227651	+	0	NA	intron (NR_135082, intron 1 of 2)	MIRc|SINE|MIR	-10875	NR_167930	727684		NM_001278501		TMEM51-AS2	C1orf195	TMEM51 antisense RNA 2	ncRNA
*-95	chr18	49041148	49078601	+	0	NA	intron (NM_001374431, intron 16 of 16)	L1MC5|LINE|L1	-10106	NR_039898	100616420		NR_039898	ENSG00000263849	MIR4744	-	microRNA 4744	ncRNA
*-181	chr8	72208148	72248633	+	0	NA	intron (NR_033867, intron 9 of 19)	intron (NR_033867, intron 9 of 19)	23244	NR_033867	392232		NR_033867		LOC392232	-	transient receptor potential cation channel subfamily A member 1 pseudogene	pseudo
*-18	chr11	42954798	42987651	+	0	NA	Intergenic	Intergenic	298145	NR_033868	399881		NR_033868	ENSG00000293312	HNRNPKP3	-	heterogeneous nuclear ribonucleoprotein K pseudogene 3	pseudo
*-86	chr9	93176948	93255601	+	0	NA	intron (NM_001282394, intron 1 of 29)	MER33|DNA|hAT-Charlie	31344	NM_001282394	65268		NM_006648	ENSG00000165238	WNK2	NY-CO-43|P/OKcl.13|PRKWNK2|SDCCAG43	WNK lysine deficient protein kinase 2	protein-coding
*-184	chr8	139408248	139436851	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	280574	NR_104210	51305		NM_001282534	ENSG00000169427	KCNK9	BIBARS|K2p9.1|KT3.2|TASK-3|TASK3|TASK32	potassium two pore domain channel subfamily K member 9	protein-coding
*-135	chr14	100637198	100791451	+	0	NA	Intergenic	Intergenic	-12568	NM_001317172	8788		NM_003836	ENSG00000185559	DLK1	DLK|DLK-1|Delta1|FA1|PREF1|Pref-1|ZOG|pG2	delta like non-canonical Notch ligand 1	protein-coding
