PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_M_u_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-142	chr2	117930198	118011162	+	0	NA	intron (NM_019044, intron 11 of 23)	intron (NM_019044, intron 11 of 23)	43390	NM_019044	54520		NM_019044	ENSG00000125633	CCDC93	-	coiled-coil domain containing 93	protein-coding
*-331	chr8	100898948	100947570	+	0	NA	intron (NM_001135702, intron 5 of 5)	intron (NM_001135702, intron 5 of 5)	27312	NM_001135702	7534		NM_003406	ENSG00000164924	YWHAZ	14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|POPCHAS|YWHAD	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	protein-coding
*-328	chr8	73542448	73633701	+	0	NA	intron (NM_001164380, intron 11 of 14)	intron (NM_001164380, intron 11 of 14)	158766	NM_001164380	27067		NM_014393	ENSG00000040341	STAU2	39K2|39K3	staufen double-stranded RNA binding protein 2	protein-coding
*-53	chr11	33668348	33733101	+	0	NA	promoter-TSS (NM_001166692)	promoter-TSS (NM_001166692)	16	NM_001166692	100131378		NM_001166692	ENSG00000205177	C11orf91	-	chromosome 11 open reading frame 91	protein-coding
*-327	chr8	66505598	66563401	+	0	NA	Intergenic	Intergenic	40933	NM_152765	254778		NM_152765	ENSG00000169085	VXN	C8orf46	vexin	protein-coding
*-273	chr6	150853798	150900301	+	0	NA	intron (NM_015440, intron 2 of 27)	intron (NM_015440, intron 2 of 27)	10563	NM_001350491	25902		NM_015440	ENSG00000120254	MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	protein-coding
*-112	chr1	172883998	172970651	+	0	NA	Intergenic	Charlie2a|DNA|hAT-Charlie	123617	NM_005092	8995		NM_005092	ENSG00000120337	TNFSF18	AITRL|GITRL|TL6|TNLG2A|hGITRL	TNF superfamily member 18	protein-coding
*-230	chr3	192851648	192915160	+	0	NA	intron (NM_178496, intron 1 of 1)	intron (NM_178496, intron 1 of 1)	34452	NM_178496	151963		NM_178496	ENSG00000180611	MB21D2	C3orf59|D2A|hMB21D2	Mab-21 domain containing 2	protein-coding
*-285	chr10	4762498	4781751	+	0	NA	Intergenic	Intergenic	-54053	NM_001271021	83592		NM_031436	ENSG00000165568	AKR1E2	AKR1CL2|AKRDC1|HTSP1|LoopADR|TAKR|hTSP|htAKR	aldo-keto reductase family 1 member E2	protein-coding
*-337	chr21	29308202	29352601	+	0	NA	intron (NR_027655, intron 4 of 7)	AluY|SINE|Alu	25197	NR_027655	571		NM_001186	ENSG00000156273	BACH1	BACH-1|BTBD24	BTB domain and CNC homolog 1	protein-coding
*-52	chr11	33043013	33086001	+	0	NA	intron (NM_001145541, intron 7 of 9)	intron (NM_001145541, intron 7 of 9)	-11643	NR_015451	283267		NR_015451	ENSG00000280798	LINC00294	NCRNA00294	long intergenic non-protein coding RNA 294	ncRNA
*-203	chr3	48011698	48086278	+	0	NA	intron (NM_001384893, intron 1 of 15)	L1MD2|LINE|L1	-32572	NM_001385676	4134		NM_002375	ENSG00000047849	MAP4	-	microtubule associated protein 4	protein-coding
*-321	chr8	32672598	32785351	+	0	NA	TTS (NM_004495)	TTS (NM_004495)	7139	NM_001322197	3084		NM_004495	ENSG00000157168	NRG1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	neuregulin 1	protein-coding
*-172	chr17	50026998	50084801	+	0	NA	promoter-TSS (NR_038230)	promoter-TSS (NR_038230)	-160	NR_038230	284080		NR_038230	ENSG00000246640	PICART1	-	p53 inducible cancer associated RNA transcript 1	ncRNA
*-213	chr3	120403648	120448070	+	0	NA	intron (NM_007085, intron 2 of 10)	intron (NM_007085, intron 2 of 10)	25133	NM_007085	11167		NM_007085	ENSG00000163430	FSTL1	FRP|FSL1|MIR198|OCC-1|OCC1|tsc36	follistatin like 1	protein-coding
*-165	chr17	16002691	16048251	+	0	NA	intron (NM_017775, intron 8 of 9)	intron (NM_017775, intron 8 of 9)	25647	NM_017775	54902		NM_017775	ENSG00000011295	TTC19	2010204O13Rik|MC3DN2	tetratricopeptide repeat domain 19	protein-coding
*-23	chr12	29277048	29288851	+	0	NA	intron (NR_103860, intron 5 of 6)	intron (NR_103860, intron 5 of 6)	34899	NR_103860	100506606		NR_103860	ENSG00000257176	LOC100506606	-	uncharacterized LOC100506606	ncRNA
*-253	chr22	24282698	24339106	+	0	NA	intron (NM_001254732, intron 2 of 14)	L1MC4a|LINE|L1	-31206	NM_001254733	23384		NM_015330	ENSG00000100014	SPECC1L	CYTSA|GBBB2|OBLFC1|TBHS|TBHS1	sperm antigen with calponin homology and coiled-coil domains 1 like	protein-coding
*-243	chr14	49970048	50024601	+	0	NA	intron (NR_126498, intron 1 of 3)	MLT2B1|LTR|ERVL	-4190	NR_126499	283551		NM_001012706	ENSG00000214900	LINC01588	C14orf182	long intergenic non-protein coding RNA 1588	ncRNA
*-36	chr12	95198898	95263201	+	0	NA	intron (NM_001352100, intron 2 of 12)	intron (NM_001352100, intron 2 of 12)	13242	NM_001352109	55591		NM_017599	ENSG00000028203	VEZT	VEZATIN	vezatin, adherens junctions transmembrane protein	protein-coding
*-286	chr10	17648398	17689351	+	0	NA	intron (NM_001324287, intron 2 of 11)	L1MC2|LINE|L1	24723	NM_001324286	8027		NM_003473	ENSG00000136738	STAM	STAM-1|STAM1	signal transducing adaptor molecule	protein-coding
*-317	chr16	69431848	69497251	+	0	NA	3' UTR (NM_030579, exon 5 of 5)	3' UTR (NM_030579, exon 5 of 5)	39930	NM_030579	80777		NM_030579	ENSG00000103018	CYB5B	CYB5-M|CYPB5M|OMB5	cytochrome b5 type B	protein-coding
*-122	chr1	218335648	218391051	+	0	NA	exon (NM_001135599, exon 2 of 8)	exon (NM_001135599, exon 2 of 8)	-17671	NR_046268	728463		NR_046268		TGFB2-AS1	-	TGFB2 antisense RNA 1 (head to head)	ncRNA
*-250	chr14	77562348	77613766	+	0	NA	intron (NM_004863, intron 2 of 11)	AluJr|SINE|Alu	28580	NM_004863	9517		NM_004863	ENSG00000100596	SPTLC2	HSN1C|LCB2|LCB2A|NSAN1C|SPT2|hLCB2a	serine palmitoyltransferase long chain base subunit 2	protein-coding
*-240	chr7	134689348	134969601	+	0	NA	intron (NM_033138, intron 1 of 14)	intron (NM_033138, intron 1 of 14)	49840	NM_033138	800		NM_004342	ENSG00000122786	CALD1	CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22|h-CD	caldesmon 1	protein-coding
*-188	chr9	110007398	110193301	+	0	NA	intron (NM_001198656, intron 1 of 4)	intron (NM_001198656, intron 1 of 4)	-25152	NM_001136562	445815		NM_007203	ENSG00000157654	PALM2AKAP2	AKAP-2|AKAP-KL|AKAP2|AKAPKL|MISP2|PALM2|PALM2-AKAP2|PRKA2	PALM2 and AKAP2 fusion	protein-coding
*-187	chr9	106859998	106898751	+	0	NA	intron (NM_001347997, intron 1 of 12)	intron (NM_001347997, intron 1 of 12)	16208	NM_001347997	58499		NM_021224	ENSG00000148143	ZNF462	WSKA|ZFPIP|Zfp462	zinc finger protein 462	protein-coding
*-318	chr16	75231498	75262947	+	0	NA	intron (NM_001170715, intron 1 of 6)	intron (NM_001170715, intron 1 of 6)	929	NM_001170719	9564		NM_014567	ENSG00000050820	BCAR1	CAS|CAS1|CASS1|CRKAS|P130Cas	BCAR1 scaffold protein, Cas family member	protein-coding
*-164	chr17	4194598	4257901	+	0	NA	intron (NR_047571, intron 2 of 23)	intron (NR_047571, intron 2 of 23)	37598	NM_001257999	51479		NM_016376	ENSG00000185722	ANKFY1	ANKHZN|BTBD23|ZFYVE14	ankyrin repeat and FYVE domain containing 1	protein-coding
*-210	chr3	107192748	107250501	+	0	NA	intron (NR_028303, intron 1 of 3)	intron (NR_028303, intron 1 of 3)	19014	NR_028303	100302640		NR_028303		LINC00882	-	long intergenic non-protein coding RNA 882	ncRNA
*-20	chr4	169200698	169268097	+	0	NA	intron (NM_020870, intron 2 of 11)	intron (NM_020870, intron 2 of 11)	36559	NM_020870	57630		NM_020870	ENSG00000154447	SH3RF1	POSH|RNF142|SH3MD2	SH3 domain containing ring finger 1	protein-coding
*-292	chr10	77385248	77437951	+	0	NA	intron (NM_001322836, intron 1 of 27)	MIRc|SINE|MIR	60727	NR_126365	101929286		NR_126365		KCNMA1-AS3	-	KCNMA1 antisense RNA 3	ncRNA
*-166	chr17	20165098	20227451	+	0	NA	intron (NM_001033554, intron 1 of 5)	MER51-int|LTR|ERV1	40202	NM_001033554	92521		NM_152904	ENSG00000128487	SPECC1	CYTSB|HCMOGT-1|HCMOGT1|NSP|NSP5	sperm antigen with calponin homology and coiled-coil domains 1	protein-coding
*-268	chr6	104995248	105073801	+	0	NA	intron (NM_001004317, intron 3 of 3)	intron (NM_001004317, intron 3 of 3)	77417	NM_001004317	389421		NM_001004317	ENSG00000187772	LIN28B	CSDD2	lin-28 homolog B	protein-coding
*-200	chr18	77063748	77109201	+	0	NA	intron (NM_001025100, intron 2 of 3)	intron (NM_001025100, intron 2 of 3)	46309	NM_001025100	4155		NM_002385	ENSG00000197971	MBP	-	myelin basic protein	protein-coding
*-267	chr6	56795348	56840664	+	0	NA	intron (NM_001144770, intron 2 of 94)	MLT1D|LTR|ERVL-MaLR	25641	NM_001374730	667		NM_001723	ENSG00000151914	DST	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBS3|EBSB2|HSAN6|MACF2	dystonin	protein-coding
*-21	chr4	185180698	185403601	+	0	NA	intron (NM_001378032, intron 7 of 19)	intron (NM_001378032, intron 7 of 19)	82592	NM_001378040	83891		NM_031953	ENSG00000109762	SNX25	MSTP043|SBBI31	sorting nexin 25	protein-coding
*-284	chr20	58235548	58296451	+	0	NA	intron (NR_003505, intron 4 of 16)	intron (NR_003505, intron 4 of 16)	-37346	NM_001304369	140731		NM_080674	ENSG00000124227	ANKRD60	C20orf86|bA196N14.3	ankyrin repeat domain 60	protein-coding
*-307	chr15	71651698	71731001	+	0	NA	intron (NR_120346, intron 1 of 2)	MLT1D|LTR|ERVL-MaLR	190	NR_120346	101929173		NR_120346		THSD4-AS2	-	THSD4 antisense RNA 2	ncRNA
*-57	chr11	74120548	74164051	+	0	NA	intron (NM_015531, intron 3 of 30)	intron (NM_015531, intron 3 of 30)	28703	NM_015531	26005		NM_015531	ENSG00000168014	C2CD3	OFD14	C2 domain containing 3 centriole elongation regulator	protein-coding
*-233	chr7	6226048	6284751	+	0	NA	intron (NM_004227, intron 1 of 12)	intron (NM_004227, intron 1 of 12)	17225	NM_001367581	9265		NM_004227	ENSG00000008256	CYTH3	ARNO3|GRP1|PSCD3|cytohesin-3	cytohesin 3	protein-coding
*-308	chr15	85393798	85445551	+	0	NA	intron (NM_007200, intron 1 of 36)	intron (NM_007200, intron 1 of 36)	39071	NM_006738	11214		NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A-kinase anchoring protein 13	protein-coding
*-24	chr12	31482598	31533801	+	0	NA	intron (NM_001308339, intron 1 of 22)	intron (NM_001308339, intron 1 of 22)	-81724	NR_046909	100874249		NR_046909	ENSG00000255867	DENND5B-AS1	-	DENND5B antisense RNA 1	ncRNA
*-25	chr12	45212948	45314301	+	0	NA	intron (NM_001142679, intron 1 of 19)	intron (NM_001142679, intron 1 of 19)	-29066	NM_001142678	196527		NM_001025356	ENSG00000177119	ANO6	BDPLT7|SCTS|TMEM16F	anoctamin 6	protein-coding
*-69	chr5	9324148	9372201	+	0	NA	intron (NM_003966, intron 3 of 22)	intron (NM_003966, intron 3 of 22)	-163159	NR_109935	101929338		NR_109935	ENSG00000251370	SEMA5A-AS1	CTD-2201E9.1	SEMA5A antisense RNA 1	ncRNA
*-9	chr4	94507448	94596301	+	0	NA	intron (NM_006457, intron 3 of 12)	intron (NM_006457, intron 3 of 12)	99932	NM_001256427	10611		NM_006457	ENSG00000163110	PDLIM5	ENH|ENH1|L9|LIM	PDZ and LIM domain 5	protein-coding
*-169	chr17	40280548	40348051	+	0	NA	intron (NM_000964, intron 1 of 8)	intron (NM_000964, intron 1 of 8)	-3946	NM_001145302	5914		NM_000964	ENSG00000131759	RARA	NR1B1|RAR|RARalpha	retinoic acid receptor alpha	protein-coding
*-270	chr6	129625998	129718001	+	0	NA	intron (NM_033515, intron 1 of 14)	MIRc|SINE|MIR	38178	NM_033515	93663		NM_033515	ENSG00000146376	ARHGAP18	MacGAP|SENEX|bA307O14.2	Rho GTPase activating protein 18	protein-coding
*-261	chr6	30724547	30794251	+	0	NA	Intergenic	Intergenic	-7426	NR_138037	105375013		NR_138037	ENSG00000228022	HCG20	NCRNA00149	HLA complex group 20	ncRNA
*-301	chr15	40992298	41050501	+	0	NA	intron (NR_104038, intron 25 of 34)	intron (NR_104038, intron 25 of 34)	67928	NM_001142776	79094		NM_024111	ENSG00000128965	CHAC1	-	ChaC glutathione specific gamma-glutamylcyclotransferase 1	protein-coding
*-223	chr3	171256148	171331701	+	0	NA	intron (NM_001161560, intron 2 of 31)	AluJr|SINE|Alu	166481	NM_001161566	23043		NM_015028	ENSG00000154310	TNIK	MRT54	TRAF2 and NCK interacting kinase	protein-coding
*-8	chr4	88586848	88641951	+	0	NA	intron (NM_001375479, intron 4 of 25)	intron (NM_001375479, intron 4 of 25)	21919	NM_001375481	8916		NM_014606	ENSG00000138641	HERC3	-	HECT and RLD domain containing E3 ubiquitin protein ligase 3	protein-coding
*-50	chr11	13207348	13236401	+	0	NA	Intergenic	Intergenic	-54778	NM_001351804	406		NM_001178	ENSG00000133794	BMAL1	ARNTL|ARNTL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	basic helix-loop-helix ARNT like 1	protein-coding
*-311	chr15	98841398	98928101	+	0	NA	intron (NM_000875, intron 2 of 20)	intron (NM_000875, intron 2 of 20)	100323	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
*-78	chr5	120599048	120624601	+	0	NA	intron (NM_001308088, intron 1 of 3)	THE1A-int|LTR|ERVL-MaLR	80360	NM_001308088	51334		NM_016644	ENSG00000184838	PRR16	DSC54|LARGEN	proline rich 16	protein-coding
*-132	chr2	55092948	55121751	+	0	NA	intron (NM_001321904, intron 1 of 9)	intron (NM_001321904, intron 1 of 9)	30482	NM_001321904	57142		NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
*-181	chr9	33271498	33355551	+	0	NA	intron (NM_147134, intron 6 of 15)	intron (NM_147134, intron 6 of 15)	23008	NM_002504	4799		NM_002504	ENSG00000086102	NFX1	NFX2|TEG-42|Tex42	nuclear transcription factor, X-box binding 1	protein-coding
*-51	chr11	14442998	14507351	+	0	NA	intron (NM_001144061, intron 13 of 21)	intron (NM_001144061, intron 13 of 21)	24637	NM_001144061	1315		NM_016451	ENSG00000129083	COPB1	BARMACS|COPB	COPI coat complex subunit beta 1	protein-coding
*-27	chr12	49480848	49519451	+	0	NA	exon (NM_023071, exon 9 of 14)	exon (NM_023071, exon 9 of 14)	-38881	NM_012284	23416		NM_012284	ENSG00000135519	KCNH3	BEC1|ELK2|Kv12.2	potassium voltage-gated channel subfamily H member 3	protein-coding
*-55	chr11	65470448	65508051	+	0	NA	Intergenic	Intergenic	-8489	NR_144567	378938		NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	metastasis associated lung adenocarcinoma transcript 1	ncRNA
*-54	chr11	35141868	35186351	+	0	NA	intron (NM_001202557, intron 1 of 8)	intron (NM_001202557, intron 1 of 8)	1159	NR_145794	109623487		NR_145794		SNORD164	-	small nucleolar RNA, C/D box 164	snoRNA
*-193	chr9	125509298	125559351	+	0	NA	intron (NM_001006618, intron 7 of 7)	intron (NM_001006618, intron 7 of 7)	172884	NM_001006618	79109		NM_024117	ENSG00000119487	MAPKAP1	JC310|MIP1|SIN1|SIN1b|SIN1g	MAPK associated protein 1	protein-coding
*-289	chr10	62220398	62279801	+	0	NA	intron (NM_001282941, intron 2 of 4)	intron (NM_001282941, intron 2 of 4)	18745	NM_001282941	219790		NM_145307	ENSG00000182010	RTKN2	PLEKHK1|bA531F24.1	rhotekin 2	protein-coding
*-258	chr22	42905298	43018201	+	0	NA	intron (NM_001184970, intron 1 of 10)	AluSz6|SINE|Alu	-1413	NM_001349970	11252		NM_007229	ENSG00000100266	PACSIN2	SDPII	protein kinase C and casein kinase substrate in neurons 2	protein-coding
*-146	chr2	189075648	189176878	+	0	NA	intron (NM_000393, intron 1 of 53)	intron (NM_000393, intron 1 of 53)	6848	NR_036076	100422908		NR_036076	ENSG00000264725	MIR3129	mir-3129	microRNA 3129	ncRNA
*-248	chr14	64917598	64937951	+	0	NA	intron (NM_001202559, intron 3 of 13)	intron (NM_001202559, intron 3 of 13)	13319	NM_001202558	100529261		NM_001202558	ENSG00000125954	CHURC1-FNTB	FNTB|FTase-beta	CHURC1-FNTB readthrough	protein-coding
*-180	chr9	16670398	16728801	+	0	NA	intron (NM_001317940, intron 2 of 5)	intron (NM_001317940, intron 2 of 5)	-27215	NR_151723	111216284		NR_151723	ENSG00000234779	BNC2-AS1	-	BNC2 antisense RNA 1	ncRNA
*-156	chr2	234240698	234260551	+	0	NA	Intergenic	Intergenic	199922	NM_006944	6694		NM_006944	ENSG00000072080	SPP2	SPP-24|SPP24	secreted phosphoprotein 2	protein-coding
*-30	chr12	65630448	65674151	+	0	NA	Intergenic	AluJb|SINE|Alu	-9927	NR_120431	100507065		NR_120431		MSRB3-AS1	-	MSRB3 antisense RNA 1	ncRNA
*-257	chr22	40466439	40543951	+	0	NA	intron (NM_001282661, intron 3 of 13)	intron (NM_001282661, intron 3 of 13)	-16605	NR_109965	101927257		NR_109965	ENSG00000232564	MRTFA-AS1	-	MRTFA antisense RNA 1	ncRNA
*-310	chr15	98716248	98765001	+	0	NA	intron (NM_000875, intron 2 of 20)	intron (NM_000875, intron 2 of 20)	-43802	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
*-247	chr14	55571298	55650451	+	0	NA	intron (NM_001079522, intron 2 of 42)	intron (NM_001079522, intron 2 of 42)	30667	NR_073128	3895		NM_004986	ENSG00000126777	KTN1	CG1|KNT|MU-RMS-40.19	kinectin 1	protein-coding
*-218	chr3	149369098	149408351	+	0	NA	Intergenic	MER74A|LTR|ERVL	10946	NR_109810	100874091		NR_046650	ENSG00000240541	TM4SF1-AS1	-	TM4SF1 antisense RNA 1	ncRNA
*-135	chr2	68027448	68060026	+	0	NA	intron (NM_006333, intron 4 of 4)	intron (NM_006333, intron 4 of 4)	19267	NM_001190263	10438		NM_006333	ENSG00000197223	C1D	LRP1|Rrp47|SUN-CoR|SUNCOR|hC1D	C1D nuclear receptor corepressor	protein-coding
*-116	chr1	198087698	198127351	+	0	NA	Intergenic	LTR8B|LTR|ERV1	-49474	NM_133494	140609		NM_133494	ENSG00000151414	NEK7	-	NIMA related kinase 7	protein-coding
*-104	chr1	150560048	150583051	+	0	NA	intron (NR_104133, intron 2 of 3)	intron (NR_104133, intron 2 of 3)	3003	NR_104133	574406		NM_001025493	ENSG00000143384	ADAMTSL4-AS1	C1orf138	ADAMTSL4 antisense RNA 1	ncRNA
*-26	chr12	49186098	49246251	+	0	NA	Intergenic	Intergenic	-11752	NM_001303114	84790		NM_032704	ENSG00000167553	TUBA1C	TUBA6|bcm948	tubulin alpha 1c	protein-coding
*-217	chr3	136136148	136186501	+	0	NA	intron (NM_018133, intron 1 of 1)	L1MB7|LINE|L1	33144	NM_001145417	55167		NM_018133	ENSG00000174579	MSL2	MSL-2|MSL2L1|RNF184	MSL complex subunit 2	protein-coding
*-89	chr1	8361498	8420686	+	0	NA	intron (NM_001042682, intron 2 of 12)	L2c|LINE|L2	32740	NM_001042682	473		NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	arginine-glutamic acid dipeptide repeats	protein-coding
*-179	chr9	16499798	16547801	+	0	NA	intron (NM_001317940, intron 4 of 5)	AluSq|SINE|Alu	-203015	NR_151723	111216284		NR_151723	ENSG00000234779	BNC2-AS1	-	BNC2 antisense RNA 1	ncRNA
*-260	chr6	16657548	16771001	+	0	NA	intron (NM_000332, intron 3 of 8)	intron (NM_000332, intron 3 of 8)	45910	NR_152114	6310		NM_000332	ENSG00000124788	ATXN1	ATX1|D6S504E|SCA1	ataxin 1	protein-coding
*-208	chr3	99842698	99936151	+	0	NA	intron (NM_182909, intron 4 of 5)	L1MEd|LINE|L1	-13221	NM_001282793	11259		NM_014890	ENSG00000168386	FILIP1L	DOC-1|DOC1|GIP130|GIP90	filamin A interacting protein 1 like	protein-coding
*-333	chr8	117825898	118120901	+	0	NA	intron (NM_000127, intron 1 of 10)	intron (NM_000127, intron 1 of 10)	-52486	NR_145799	109623457		NR_145799		SNORD168	-	small nucleolar RNA, C/D box 168	snoRNA
*-114	chr1	181072498	181117901	+	0	NA	Intergenic	Intergenic	6499	NM_016545	51278		NM_016545	ENSG00000162783	IER5	SBBI48	immediate early response 5	protein-coding
*-34	chr12	93395298	93439249	+	0	NA	intron (NM_003348, intron 1 of 3)	intron (NM_003348, intron 1 of 3)	24674	NM_003348	7334		NM_003348	ENSG00000177889	UBE2N	HEL-S-71|UBC13|UBCHBEN|UBCHBEN; UBC13|UbcH-ben|UbcH13	ubiquitin conjugating enzyme E2 N	protein-coding
*-106	chr1	157996271	158050251	+	0	NA	intron (NM_001286349, intron 1 of 12)	intron (NM_001286349, intron 1 of 12)	-2289	NR_145471	100505785		NR_145471		KIRREL1-IT1	KIRREL-IT1	KIRREL1 intronic transcript 1	ncRNA
*-6	chr4	79996848	80070322	+	0	NA	intron (NM_001145794, intron 8 of 15)	intron (NM_001145794, intron 8 of 15)	39644	NM_001286781	118429		NM_058172	ENSG00000163297	ANTXR2	CMG-2|CMG2|HFS|ISH|JHF	ANTXR cell adhesion molecule 2	protein-coding
*-35	chr12	93766798	93826401	+	0	NA	intron (NM_001320100, intron 2 of 2)	AluSx1|SINE|Alu	-58776	NR_110093	101928731		NR_110092	ENSG00000258274	CRADD-AS1	-	CRADD antisense RNA 1	ncRNA
*-99	chr1	85540598	85586901	+	0	NA	intron (NM_001134445, intron 1 of 6)	L1MEc|LINE|L1	14451	NM_001134445	23576		NM_012137	ENSG00000153904	DDAH1	DDAH|DDAH-1|DDAHI|HEL-S-16	dimethylarginine dimethylaminohydrolase 1	protein-coding
*-271	chr6	140041948	140079801	+	0	NA	intron (NR_121623, intron 1 of 1)	L2a|LINE|L2	-69613	NR_121624	103352541		NR_121624		LOC103352541	-	uncharacterized LOC103352541	ncRNA
*-42	chr12	110265748	110341501	+	0	NA	intron (NM_170665, intron 5 of 19)	AluSc5|SINE|Alu	22377	NM_001681	488		NM_001681	ENSG00000174437	ATP2A2	ATP2B|DAR|DD|SERCA2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	protein-coding
*-207	chr3	98877098	98924851	+	0	NA	intron (NM_080927, intron 1 of 15)	intron (NM_080927, intron 1 of 15)	721	NM_080927	131566		NM_080927	ENSG00000057019	DCBLD2	CLCP1|ESDN	discoidin, CUB and LCCL domain containing 2	protein-coding
*-31	chr12	67651730	67693001	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	23620	NM_006482	8445		NM_003583	ENSG00000127334	DYRK2	-	dual specificity tyrosine phosphorylation regulated kinase 2	protein-coding
*-154	chr2	223026198	223111101	+	0	NA	Intergenic	L1ME2|LINE|L1	16459	NM_080671	23704		NM_080671	ENSG00000152049	KCNE4	MIRP3	potassium voltage-gated channel subfamily E regulatory subunit 4	protein-coding
*-144	chr2	160204398	160252901	+	0	NA	Intergenic	Intergenic	-28336	NM_001282354	3694		NM_000888	ENSG00000115221	ITGB6	AI1H	integrin subunit beta 6	protein-coding
*-18	chr4	137509248	137529497	+	0	NA	3' UTR (NM_019035, exon 4 of 4)	3' UTR (NM_019035, exon 4 of 4)	13122	NM_019035	54510		NM_019035	ENSG00000189184	PCDH18	PCDH68L	protocadherin 18	protein-coding
