"","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.peaks1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.seqnames","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.start","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.end","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.width","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.strand","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.PeakId","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Gene.Name","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Gene.Type","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Annotation","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Detailed.Annotation","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Distance.to.TSS","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Nearest.PromoterID","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Entrez.ID","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Nearest.Unigene","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.baseMean","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.MeanExpr_control","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.MeanExpr_48h","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.log2FoldChange","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.lfcSE","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.FoldChange","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.pvalue","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.padj","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_DMSO_ctrl_rep1_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_control_ATAC_S165169_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_DMSO_ctrl_rep2_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_DMSO_ctrl_rep1_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_control_ATAC_S165166_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_DMSO_ctrl_rep2_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.48h.CM_48h_rep1_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.48h.CM_48h_ATAC_S165167_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.peaks2","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.seqnames.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.start.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.end.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.width.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.strand.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.overlapFeature","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.shortestDistance"
"X143_030","143","chr12",50201801,50202589,789,"*","Interval_103639","AC008147.2","lncRNA","promoter-TSS (ENSG00000050405)","protein_coding-promoter-TSS (ENSG00000050405)",-10832,"ENSG00000257298","ENSG00000257298","ENST00000552061",65.5584258914322,105.998455148819,43.7775734930808,-1.1077984086811,0.273395443942402,-2.15516512253435,1.863114697237e-06,0.00111575553276689,86.1520090725095,73.2749928301994,71.0825703095184,192.597851652719,79.2767536050339,133.606553422934,31.3738349299132,46.5521638448961,"030","chr12",50150598,50219704,69107,"*","inside",17115
"X183_031","183","chr20",31704417,31705191,775,"*","Interval_272067","ABALON","lncRNA","intron (ENSG00000236559, intron 1 of 1)","protein_coding-intron (ENSG00000171552, intron 2 of 2)",-16703,"ENSG00000281376","ENSG00000281376","ENST00000629058",22.5401892658075,37.1706225066801,14.8324353613592,-1.20853639073642,0.318452642355679,-2.31103064533608,5.52293569407748e-06,0.00234591884334977,43.0760045362548,22.2045432818786,36.3139217885583,46.8679182729051,32.2637950718161,42.2975520886675,21.3912510885772,14.9318261389289,"031","chr20",31652098,31718505,66408,"*","inside",13314
"X202_072","202","chr2",152504334,152505171,838,"*","Interval_250857","AC012443.1","processed_pseudogene","intron (ENSG00000157827, intron 1 of 25)","protein_coding-intron (ENSG00000157827, intron 1 of 25)",34675,"ENSG00000270776","ENSG00000270776","ENST00000605605",25.8254443253751,39.8942269574949,17.378330296043,-1.04851862978568,0.278562206671164,-2.0684049030665,7.4658470005731e-06,0.00280788493914519,49.3798100781457,23.3147704459725,31.6781019857637,52.7264080570182,43.3256676678674,38.9406035102019,24.2434179003875,8.78342714054643,"072","chr2",152485998,152627501,141504,"*","inside",18336
"X210_145","210","chr3",170729622,170730670,1049,"*","Interval_322126","AC026316.5","lncRNA","intron (ENSG00000285051, intron 5 of 5)","lncRNA-intron (ENSG00000285051, intron 5 of 5)",5841,"ENSG00000286695","ENSG00000286695","ENST00000663709",31.4505843915622,16.341983870703,54.6259649526133,1.29836869514494,0.357880581597693,2.4595062056061,8.26606561359361e-06,0.0030127409336048,13.6582453407637,13.3227259691272,10.0442762393885,11.7169795682263,25.8110360574529,23.4986400492597,19.9651676826721,21.9585678513661,"145","chr3",170688548,170768951,80404,"*","inside",38281
"X224_043","224","chr15",60353361,60353914,554,"*","Interval_153717","AC087385.1","processed_pseudogene","TTS (ENSG00000182718)","protein_coding-TTS (ENSG00000182718)",-36734,"ENSG00000240163","ENSG00000240163","ENST00000475062",15.1098799686386,21.7687976991145,7.80866442681807,-1.24885267128386,0.337840317432418,-2.37652350599038,1.08127957682201e-05,0.0035583336194217,18.9114166256728,11.1022716409393,13.1348227745849,32.9540050356364,27.6546814901281,26.8555886277254,5.70433362362059,4.39171357027321,"043","chr15",60342848,60472801,129954,"*","inside",10513
"X247_125","247","chr14",61564506,61565064,559,"*","Interval_138367","LINC01303","lncRNA","exon (ENSG00000250548, exon 4 of 5)","lncRNA-exon (ENSG00000250548, exon 4 of 5)",5824,"ENSG00000250548","ENSG00000250548","ENST00000508827",100.83951116847,139.233469922822,73.0205110828549,-1.1893055194091,0.343104308699223,-2.28042942060508,1.49545328412727e-05,0.00433986176610625,215.380022681274,158.762484465432,217.110894097551,100.326637552937,74.6676400233459,69.1531407163929,148.312674214135,60.6056472697704,"125","chr14",61552848,61625151,72304,"*","inside",11658
"X257_292","257","chr5",172951714,172952723,1010,"*","Interval_380173","AC008429.3","lncRNA","exon (ENSG00000113719, exon 10 of 10)","protein_coding-exon (ENSG00000113719, exon 10 of 10)",-2689,"ENSG00000254295","ENSG00000254295","ENST00000519755",52.3510590064159,84.7837089393661,36.1699406633217,-1.12976217560971,0.324423896335756,-2.18822664952051,1.81138061860354e-05,0.00493821435487537,75.6456665026913,91.0386274557023,55.6298376335362,146.462244602828,40.5601995188546,99.365677922584,58.469419642111,38.6470794184043,"292","chr5",172854698,172955727,101030,"*","inside",3004
"X347_054","347","chr15",62622754,62623210,457,"*","Interval_154176","MGC15885","lncRNA","intron (ENSG00000171914, intron 2 of 35)","protein_coding-intron (ENSG00000171914, intron 2 of 57)",22199,"ENSG00000259458","ENSG00000259458","ENST00000560347",77.7387068570823,40.2903297186437,118.013602434886,1.1186253003959,0.354797541446624,2.17139967919049,5.51584613419998e-05,0.00980889583162333,15.7595138547274,18.8738617895968,9.27163960558936,57.8525866181172,58.074831129269,81.9095453145625,22.8173344944824,37.7687367043496,"054","chr15",62588698,62638151,49454,"*","inside",14941
"X358_118","358","chr10",90912351,90913369,1019,"*","Interval_62362","ANKRD1","protein_coding","exon (ENSG00000148677, exon 9 of 9)","protein_coding-exon (ENSG00000148677, exon 9 of 9)",8227,"ENSG00000148677","ENSG00000148677","ENST00000371697",25.4931216025355,46.3613285347545,14.2463288216157,-1.48281153375059,0.475911275490318,-2.7949288047492,5.87549270946452e-05,0.010140250803537,60.9367869049458,68.8340841738237,19.3159158449778,51.994096834004,26.7328587737905,50.3542286769852,17.1130008708618,29.8636522778579,"118","chr10",90910748,90944298,33551,"*","inside",1603
"X421_381","421","chr1",97999289,98000153,865,"*","Interval_19070","DPYD","protein_coding","intron (ENSG00000225206, intron 3 of 4)","lncRNA-intron (ENSG00000225206, intron 3 of 4)",-4721,"ENSG00000188641","ENSG00000188641","ENST00000646851",25.4116158621282,43.0097495357087,17.6211255708071,-1.02843277320655,0.341064258262191,-2.03980716646087,0.000103356405320263,0.0142296833609041,35.721564737382,31.08636059463,40.1771049575539,76.1603671934707,21.2019224757649,53.7111772554508,11.4086672472412,12.296797996765,"381","chr1",97996898,98068751,71854,"*","inside",2391
"X426_167","426","chr1",85554654,85555437,784,"*","Interval_17254","AC092807.3","lncRNA","intron (ENSG00000282057, intron 1 of 3)","protein_coding-intron (ENSG00000153904, intron 1 of 6)",23205,"ENSG00000282057","ENSG00000282057","ENST00000467666",15.5644772633793,22.07064212173,9.54933878343018,-1.07898887017475,0.361944823277534,-2.11255495310964,0.000105696363577218,0.0144035526773485,16.8101481117092,21.0943161177847,22.4064623801743,32.9540050356364,23.0455679084401,16.1133531766353,19.9651676826721,7.90508442649178,"167","chr1",85540598,85586901,46304,"*","inside",14056
"X429_118","429","chr10",90915343,90916253,911,"*","Interval_62363","ANKRD1","protein_coding","exon (ENSG00000148677, exon 7 of 9)","protein_coding-exon (ENSG00000148677, exon 7 of 9)",5289,"ENSG00000148677","ENSG00000148677","ENST00000371697",23.8411140341395,45.0476709535771,13.9238978534889,-1.54995099060891,0.545171976428751,-2.92807192148667,0.000107827126056108,0.0144640570641151,50.4304443351275,63.282948353354,23.9517356477725,54.1910305030465,26.7328587737905,51.6970081083714,1.42608340590515,12.296797996765,"118","chr10",90910748,90944298,33551,"*","inside",4595
"X448_094","448","chr18",77084515,77084921,407,"*","Interval_208295","AC018529.1","lncRNA","intron (ENSG00000197971, intron 2 of 2)","protein_coding-intron (ENSG00000197971, intron 2 of 8)",-8368,"ENSG00000275178","ENSG00000275178","ENST00000613063",9.49290675125623,5.05688814615025,13.9622847035728,1.19586077047687,0.406363145761459,2.29081470666415,0.000130515359247734,0.016300377722879,1.05063425698182,3.33068149228179,3.09054653519645,11.7169795682263,6.45275901436323,4.69972800985195,5.70433362362059,8.78342714054643,"094","chr18",77063748,77109201,45454,"*","inside",20767
"X463_014","463","chr7",130987202,130987456,255,"*","Interval_440163","AC058791.1","lncRNA","intron (ENSG00000231721, intron 1 of 3)","lncRNA-intron (ENSG00000231721, intron 1 of 3)",50865,"ENSG00000273319","ENSG00000273319","ENST00000608412",12.9811107591466,25.0045975792821,7.0006099006356,-1.38755140605481,0.492327481504964,-2.61634248662373,0.000143881655377098,0.0173242768288779,8.40507405585459,13.3227259691272,8.49900297179025,59.3172090641455,17.5146316104145,42.9689418043607,7.13041702952574,6.1483989983825,"014","chr7",130838298,131040951,202654,"*","inside",53495
"X512_371","512","chr3",8460914,8461608,695,"*","Interval_295251","LMCD1-AS1","lncRNA","intron (ENSG00000227110, intron 3 of 3)","lncRNA-intron (ENSG00000227110, intron 3 of 3)",40405,"ENSG00000227110","ENSG00000227110","ENST00000458666",36.8816295517772,59.4468600780374,25.4741305154688,-1.02974983115801,0.374545397679841,-2.0416701872923,0.000200304325192718,0.020902810373258,36.7721989943638,123.235215214426,72.6278435771167,57.120275395103,31.3419723554785,35.5836549317362,28.521668118103,36.0120512762404,"371","chr3",8441948,8580051,138104,"*","inside",18966
"X542_041","542","chr5",154234600,154235122,523,"*","Interval_376854","GALNT10","protein_coding","intron (ENSG00000164574, intron 2 of 5)","protein_coding-intron (ENSG00000164574, intron 1 of 11)",44113,"ENSG00000164574","ENSG00000164574","ENST00000517958",10.0571646624674,4.82821889925494,15.4835901698029,1.3398701950579,0.487837349808889,2.53128542799749,0.00024882557687531,0.02393233011487,0,1.11022716409393,3.09054653519645,7.32311223014141,7.37458173070083,10.070845735397,2.8521668118103,6.1483989983825,"041","chr5",154193733,154320951,127219,"*","inside",40867
"X622_362","622","chr2",223049480,223049695,216,"*","Interval_262071","KCNE4","protein_coding","Intergenic","Intergenic",-2613,"ENSG00000152049","ENSG00000152049","ENST00000488477",17.879496524719,34.4369925776326,8.2877440288087,-1.63321988373957,0.708517201700013,-3.10204557769256,0.000451611730071945,0.03409296409838,5.25317128490912,51.0704495483208,13.1348227745849,65.1756988482586,12.9055180287265,59.0822949809959,8.55650043543089,6.1483989983825,"362","chr2",223026198,223111101,84904,"*","inside",23282
"X661_290","661","chr4",41124780,41126151,1372,"*","Interval_333871","RNU6-1195P","snRNA","intron (ENSG00000163697, intron 2 of 4)","protein_coding-intron (ENSG00000163697, intron 2 of 17)",11523,"ENSG00000207198","ENSG00000207198","ENST00000384469",31.6969359524874,54.4402088768662,19.0997191691097,-1.17123014546308,0.497687013459646,-2.25203639900332,0.000599969934332547,0.0401874695914938,10.5063425698182,38.8579507432875,17.7706425773796,112.775928344178,35.9510859371665,110.779303089367,2.8521668118103,14.0534834248743,"290","chr4",41119998,41209951,89954,"*","inside",4782
"X706_165","706","chr15",32877176,32877975,800,"*","Interval_148966","AC090877.1","transcribed_processed_pseudogene","intron (ENSG00000248905, intron 13 of 17)","protein_coding-intron (ENSG00000248905, intron 12 of 16)",-40249,"ENSG00000259392","ENSG00000259392","ENST00000561418",20.8905120462715,31.9061173526907,12.4984139164634,-1.05347710029756,0.47592439297437,-2.07552613765163,0.000809537210212974,0.0482386765483713,15.7595138547274,53.2909038765086,18.5432792111787,46.1356070498909,22.1237451921025,35.5836549317362,11.4086672472412,14.9318261389289,"165","chr15",32769248,33035351,266104,"*","inside",107928
